basho,id,rank,rikishi,heya,shusshin,birth_date,height,weight,prev,prev_w,prev_l
2016.01,1111,Y1e,Harumafuji,Isegahama,Mongolia,1984-04-14,185,135,Y2e,13,2
2016.01,1123,Y1w,Hakuho,Miyagino,Mongolia,1985-03-11,193,150.7,Y1w,12,3
2016.01,1219,Y2e,Kakuryu,Izutsu,Mongolia,1985-08-10,186,150,Y1e,9,6
2016.01,1235,O1e,Kisenosato,Tagonoura,Ibaraki,1986-07-03,188,177,O1w,10,5
2016.01,11927,O1w,Terunofuji,Isegahama,Mongolia,1991-11-29,192,158.5,O1e,9,6
2016.01,1226,O2e,Kotoshogiku,Sadogatake,Fukuoka,1984-01-30,180,177,O2e,8,6
2016.01,6468,O2w,Goeido,Sakaigawa,Osaka,1986-04-06,183,158.2,O2w,8,7
2016.01,6473,S1e,Tochiozan,Kasugano,Kochi,1987-03-09,189,154,S1e,8,7
2016.01,5967,S1w,Yoshikaze,Oguruma,Oita,1982-03-19,175,140.3,K1w,8,7
2016.01,6491,K1e,Ikioi,Isenoumi,Osaka,1986-10-11,194,157,M4e,12,3
2016.01,6599,K1w,Tochinoshin,Kasugano,Georgia,1987-10-13,192,162,K1e,7,8
2016.01,89,M1e,Aminishiki,Isegahama,Aomori,1978-10-03,186,152,M3w,8,7
2016.01,6614,M1w,Shohozan,Nishonoseki,Fukuoka,1984-02-09,177,134.5,M10w,12,3
2016.01,11728,M2e,Takarafuji,Isegahama,Aomori,1987-02-18,186,161.1,M8w,10,5
2016.01,11786,M2w,Aoiyama,Kasugano,Bulgaria,1986-06-19,192,192.6,M2e,7,8
2016.01,12107,M3e,Ichinojo,Minato,Mongolia,1993-04-07,190,183,M1e,6,9
2016.01,6753,M3w,Kaisei,Tomozuna,Brazil,1986-12-18,195,187.8,M7e,9,6
2016.01,7239,M4e,Kyokushuho,Tomozuna,Mongolia,1988-08-09,191,149.6,M7w,9,6
2016.01,9079,M4w,Kotoyuki,Sadogatake,Kagawa,1991-04-02,176,162.4,M6e,8,7
2016.01,11987,M5e,Osunaarashi,Otake,Egypt,1992-02-10,189,146,M1w,5,9
2016.01,4980,M5w,Sokokurai,Arashio,China,1984-01-09,185,131.6,M10e,9,6
2016.01,11726,M6e,Tokushoryu,Kise,Nara,1986-08-22,182,170.6,M8e,8,7
2016.01,6463,M6w,Okinoumi,Hakkaku,Shimane,1985-07-29,190,154,M2w,5,10
2016.01,1227,M7e,Toyonoshima,Tokitsukaze,Kochi,1983-06-29,169,149.4,M3e,5,9
2016.01,5944,M7w,Tamawashi,Kataonami,Mongolia,1984-11-16,190,161,M9e,8,7
2016.01,11784,M8e,Myogiryu,Sakaigawa,Hyogo,1986-10-22,187,148,S1w,2,13
2016.01,6480,M8w,Takayasu,Tagonoura,Ibaraki,1990-02-28,187,163,M12w,9,6
2016.01,2879,M9e,Sadanoumi,Sakaigawa,Kumamoto,1987-05-11,184,131.2,M5w,5,10
2016.01,6572,M9w,Gagamaru,Kise,Georgia,1987-02-23,185,202.6,M11e,8,7
2016.01,6928,M10e,Chiyootori,Kokonoe,Kagoshima,1992-10-11,179,178.5,M15w,10,5
2016.01,12210,M10w,Mitakeumi,Dewanoumi,Nagano,1992-12-25,179,149,M11w,8,7
2016.01,12055,M11e,Endo,Oitekaze,Ishikawa,1990-10-19,183,145.6,M4w,4,11
2016.01,1405,M11w,Amuru,Onomatsu,Russia,1983-08-25,192,126,M5e,4,11
2016.01,11934,M12e,Chiyotairyu,Kokonoe,Tokyo,1988-11-14,182,166.8,M13e,8,7
2016.01,12130,M12w,Shodai,Tokitsukaze,Kumamoto,1991-11-05,182,150,J5w,13,2
2016.01,1284,M13e,Takekaze,Oguruma,Akita,1979-06-21,170,144,M12e,7,8
2016.01,11724,M13w,Takanoiwa,Takanohana,Mongolia,1990-02-26,181,145.5,J1e,8,7
2016.01,11971,M14e,Jokoryu,Kise,Tokyo,1988-08-07,187,162.4,J3w,9,6
2016.01,6467,M14w,Toyohibiki,Sakaigawa,Yamaguchi,1984-11-16,185,185.2,M13w,7,8
2016.01,8904,M15e,Homarefuji,Isegahama,Aomori,1985-05-06,180,163.7,M6w,3,12
2016.01,813,M15w,Kitataiki,Yamahibiki,Tokyo,1982-10-05,185,149,M15e,7,8
2016.01,11845,M16e,Kagayaki,Takadagawa,Ishikawa,1994-06-01,193,144.3,J2e,8,7
2016.01,6559,J1e,Seiro,Shikoroyama,Mongolia,1988-08-18,185,131.2,J2w,8,7
2016.01,2851,J1w,Fujiazuma,Tamanoi,Tokyo,1987-04-19,182,183.6,J4w,9,6
2016.01,2842,J2e,Sadanofuji,Sakaigawa,Nagasaki,1984-12-25,189,200.5,M9w,4,11
2016.01,12026,J2w,Hidenoumi,Kise,Tokyo,1989-06-11,184,156.2,J3e,8,7
2016.01,11985,J3e,Daieisho,Oitekaze,Saitama,1993-11-10,179,135.7,M14e,6,9
2016.01,1241,J3w,Kitaharima,Yamahibiki,Hyogo,1986-07-28,182,121,J4e,8,7
2016.01,2832,J4e,Arawashi,Minezaki,Mongolia,1986-08-21,184,122,J5e,8,7
2016.01,2929,J4w,Kagamio,Kagamiyama,Mongolia,1988-02-09,182,136,J1w,6,9
2016.01,12144,J5e,Daishomaru,Oitekaze,Osaka,1991-07-10,175,153,J12e,12,3
2016.01,8900,J5w,Akiseyama,Kise,Aichi,1985-07-18,183,172.6,J7e,8,7
2016.01,6596,J6e,Nishikigi,Isenoumi,Iwate,1990-08-25,184.5,149.5,J11e,10,5
2016.01,5985,J6w,Satoyama,Onoe,Kagoshima,1981-05-31,177,121,J6e,7,8
2016.01,6770,J7e,Tenkaiho,Onoe,Kumamoto,1984-10-14,184,189,J13e,9,6
2016.01,7240,J7w,Chiyomaru,Kokonoe,Kagoshima,1991-04-17,178,176.3,J14e,9,6
2016.01,1009,J8e,Asasekiryu,Takasago,Mongolia,1981-08-07,184,145,M16e,3,12
2016.01,11840,J8w,Chiyoo,Kokonoe,Kagoshima,1991-05-29,178,149.6,J12w,8,7
2016.01,2818,J9e,Tokitenku,Tokitsukaze,Mongolia,1979-09-10,186,143,M14w,0,0
2016.01,8899,J9w,Kyokutaisei,Tomozuna,Hokkaido,1989-10-18,184,128.2,J7w,6,9
2016.01,12051,J10e,Ishiura,Miyagino,Tottori,1990-01-10,173,103.6,J10e,7,8
2016.01,6531,J10w,Asahisho,Tomozuna,Chiba,1989-07-21,174,144.6,J8w,6,9
2016.01,7127,J11e,Asabenkei,Takasago,Kanagawa,1989-02-12,190,174.8,J9e,6,9
2016.01,11723,J11w,Azumaryu,Tamanoi,Mongolia,1987-05-12,192,147.2,J9w,6,9
2016.01,12113,J12e,Tsurugisho,Oitekaze,Tokyo,1991-07-27,184,154,Ms1e,5,2
2016.01,11785,J12w,Chiyoshoma,Kokonoe,Mongolia,1991-07-20,183,118.2,Ms3w,6,1
2016.01,7143,J13e,Amakaze,Oguruma,Kagawa,1991-07-07,184,200.5,J11w,6,9
2016.01,6642,J13w,Chiyonokuni,Kokonoe,Mie,1990-07-10,184,143.8,Ms4w,5,2
2016.01,12043,J14e,Onosho,Onomatsu,Aomori,1996-07-04,176,148.5,J6w,4,10
2016.01,6013,J14w,Dewahayate,Dewanoumi,Aichi,1989-01-31,177,122.6,Ms4e,4,3
2016.01,1141,Ms1e,Shotenro,Fujishima,Mongolia,1982-01-31,189,157.5,Ms6w,6,1
2016.01,1058,Ms1w,Wakanoshima,Shibatayama,Kagoshima,1984-09-28,181,140,J8e,4,11
2016.01,6506,Ms2e,Kairyu,Dewanoumi,Wakayama,1990-03-01,178,133.5,Ms5e,4,3
2016.01,6497,Ms2w,Daido,Onomatsu,Tokyo,1982-08-21,187,167.6,J13w,6,9
2016.01,12141,Ms3e,Shiba,Kise,Tokyo,1991-12-24,176,159,Ms31w,7,0
2016.01,7121,Ms3w,Tokushinho,Kise,Mie,1984-05-13,194,214.1,J10w,4,11
2016.01,795,Ms4e,Tamaasuka,Kataonami,Aichi,1983-01-26,185,158.5,J14w,5,10
2016.01,12094,Ms4w,Abi,Shikoroyama,Saitama,1994-05-04,185,121,Ms1w,3,4
2016.01,9077,Ms5e,Kizenryu,Kise,Kagawa,1985-04-30,194,149.3,Ms2e,3,4
2016.01,12040,Ms5w,Daishoho,Oitekaze,Mongolia,1994-08-28,182,140,Ms2w,3,4
2016.01,6538,Ms6e,Shosei,Sakaigawa,Kagoshima,1986-05-27,167,130.2,Ms10w,5,2
2016.01,6600,Ms6w,Tochihiryu,Kasugano,Shizuoka,1987-04-23,178,153.5,Ms11e,5,2
2016.01,11918,Ms7e,Akua,Tatsunami,Ibaraki,1990-11-06,181,162.6,Ms8e,4,3
2016.01,11943,Ms7w,Hakuyozan,Takadagawa,Yamagata,1995-04-13,185,145.8,Ms8w,4,3
2016.01,9110,Ms8e,Aokishin,Kasugano,Osaka,1989-06-10,174,118.7,Ms18w,6,1
2016.01,12226,Ms8w,Ura,Kise,Osaka,1992-06-22,172,113,Ms54w,7,0
2016.01,6594,Ms9e,Ryuden,Takadagawa,Yamanashi,1990-11-10,192,145,Ms11w,4,3
2016.01,9067,Ms9w,Akinokawa,Takadagawa,Hiroshima,1992-11-30,180,141.3,Ms14e,5,2
2016.01,11868,Ms10e,Terutsuyoshi,Isegahama,Hyogo,1995-01-17,169,112,Ms13e,4,3
2016.01,7111,Ms10w,Irodori,Shikoroyama,Saitama,1992-03-10,179,131.2,Ms29e,6,1
