basho,id,rank,rikishi,heya,shusshin,birth_date,height,weight,prev,prev_w,prev_l
2005.01,878,Y1e,Asashoryu,Takasago,Mongolia,1980-09-27,185,140,Y1e,13,2
2005.01,7,O1e,Kaio,Tomozuna,Fukuoka,1972-07-24,185,175,O1e,12,3
2005.01,8,O1w,Chiyotaikai,Kokonoe,Oita,1976-04-29,181,155,O1w,7,8
2005.01,39,S1e,Wakanosato,Naruto,Aomori,1976-07-10,185,150.2,S1e,11,4
2005.01,842,S1w,Miyabiyama,Musashigawa,Ibaraki,1977-07-28,187.5,179,S1w,9,6
2005.01,19,S2w,Tochiazuma,Tamanoi,Tokyo,1976-11-09,181,151,O2w,3,3
2005.01,876,K1e,Kotomitsuki,Sadogatake,Aichi,1976-04-11,181.5,153.8,K1e,10,5
2005.01,1123,K1w,Hakuho,Miyagino,Mongolia,1985-03-11,190.5,135,M1w,12,3
2005.01,1087,M1e,Iwakiyama,Sakaigawa,Aomori,1976-03-02,185,175,M3e,9,6
2005.01,10,M1w,Tochinonada,Kasugano,Ishikawa,1974-02-26,186.5,163.9,K1w,6,9
2005.01,14,M2e,Kotonowaka,Sadogatake,Yamagata,1968-05-15,191,176,M5w,9,6
2005.01,13,M2w,Tosanoumi,Isenoumi,Kochi,1972-02-16,187,156,M6e,9,6
2005.01,152,M3e,Tamanoshima,Kataonami,Fukushima,1977-09-15,188,156,M4e,8,7
2005.01,1187,M3w,Kokkai,Oitekaze,Georgia,1981-03-10,188,151,M2w,7,8
2005.01,2830,M4e,Kotooshu,Sadogatake,Bulgaria,1983-02-19,203,131,M10w,11,4
2005.01,1204,M4w,Kakizoe,Musashigawa,Oita,1978-08-12,177,139,M2e,6,9
2005.01,1421,M5e,Roho,Otake,Russia,1980-03-09,194,137.5,M9w,10,5
2005.01,875,M5w,Takamisakari,Azumazeki,Aomori,1976-05-12,188.5,133.5,M7w,8,7
2005.01,41,M6e,Kyokutenho,Oshima,Mongolia,1974-09-13,191,149,M3w,5,10
2005.01,40,M6w,Kaiho,Hakkaku,Aomori,1973-04-17,178,125,M13e,10,5
2005.01,129,M7e,Hayateumi,Oitekaze,Aomori,1975-07-05,185,118.8,M11e,9,6
2005.01,29,M7w,Kotoryu,Sadogatake,Hyogo,1972-03-02,182.5,140.2,M9e,8,7
2005.01,135,M8e,Hokutoriki,Hakkaku,Tochigi,1977-10-31,182.5,153,M11w,8,7
2005.01,1284,M8w,Takekaze,Oguruma,Akita,1979-06-21,172,142,M6w,6,9
2005.01,71,M9e,Takanowaka,Naruto,Nagasaki,1976-04-02,190,152,M12e,8,7
2005.01,1018,M9w,Shimotori,Tokitsukaze,Niigata,1978-03-18,190,152,M5e,4,11
2005.01,31,M10e,Dejima,Musashigawa,Ishikawa,1974-03-21,180,165,M1e,0,3
2005.01,35,M10w,Kyokushuzan,Oshima,Mongolia,1973-03-08,182.5,138.4,M4w,2,13
2005.01,1009,M11e,Asasekiryu,Takasago,Mongolia,1981-08-07,184,137.4,M10e,7,8
2005.01,96,M11w,Jumonji,Michinoku,Aomori,1976-06-09,186,155.5,M7e,5,10
2005.01,50,M12e,Tokitsuumi,Tokitsukaze,Nagasaki,1973-11-08,185,137.5,M14e,8,7
2005.01,1235,M12w,Kisenosato,Naruto,Ibaraki,1986-07-03,185,140.5,M16w,9,6
2005.01,1111,M13e,Ama,Ajigawa,Mongolia,1984-04-14,184,113,M14w,8,7
2005.01,105,M13w,Buyuzan,Musashigawa,Aichi,1974-07-29,181,164,M8w,5,10
2005.01,865,M14e,Kasugao,Kasugayama,Korea,1977-07-01,183,143.5,M15e,8,7
2005.01,17,M14w,Tamakasuga,Kataonami,Ehime,1972-01-07,182,152.8,M13w,7,8
2005.01,72,M15e,Tochisakae,Kasugano,Saga,1974-06-27,183,150.4,J1w,10,5
2005.01,92,M15w,Harunoyama,Matsugane,Aichi,1976-08-02,188,177,J5e,11,4
2005.01,1226,M16e,Kotoshogiku,Sadogatake,Fukuoka,1984-01-30,178.5,130,J3w,10,5
2005.01,89,M16w,Aminishiki,Ajigawa,Aomori,1978-10-03,184,126.5,J2e,9,6
2005.01,1227,M17e,Toyonoshima,Tokitsukaze,Kochi,1983-06-29,171,121,J1e,8,7
2005.01,2818,M17w,Tokitenku,Tokitsukaze,Mongolia,1979-09-10,185.5,127,M15w,7,8
2005.01,22,J1e,Gojoro,Magaki,Miyagi,1973-08-18,191,154,J2w,9,6
2005.01,2834,J1w,Futeno,Dewanoumi,Kumamoto,1980-08-28,181,161,M16e,7,8
2005.01,78,J2e,Toyozakura,Michinoku,Hiroshima,1974-03-12,182,139,M8e,3,12
2005.01,70,J2w,Kitazakura,Kitanoumi,Hiroshima,1971-12-15,190,177,J3e,8,7
2005.01,225,J3e,Takanotsuru,Naruto,Kagoshima,1976-06-18,188,174.8,M12w,4,11
2005.01,287,J3w,Wakatoba,Oshiogawa,Tokyo,1977-06-15,176,140,J10e,11,4
2005.01,107,J4e,Kasuganishiki,Kasugano,Chiba,1975-08-22,187,148.5,J9e,10,5
2005.01,99,J4w,Ishide,Hanaregoma,Saitama,1976-07-13,176,120,J13w,12,3
2005.01,145,J5e,Kobo,Miyagino,Kagoshima,1973-08-18,183,132,J4e,7,8
2005.01,43,J5w,Kinkaiyama,Dewanoumi,Nagasaki,1976-01-07,184,163,J7w,8,7
2005.01,38,J6e,Toki,Takasago,Chiba,1974-07-04,190.5,172,M17e,2,13
2005.01,795,J6w,Tamaasuka,Kataonami,Aichi,1983-01-26,184,131,J12e,8,7
2005.01,1402,J7e,Hakurozan,Hatachiyama,Russia,1982-02-06,189,133.5,J12w,8,7
2005.01,63,J7w,Otsukasa,Irumagawa,Hyogo,1971-02-18,174.5,148.7,J4w,5,10
2005.01,87,J8e,Wakanoyama,Musashigawa,Wakayama,1972-05-12,178,164,J7e,7,8
2005.01,784,J8w,Daishodai,Oitekaze,Tokyo,1976-02-25,176,158,J6e,6,9
2005.01,113,J9e,Asofuji,Ajigawa,Aomori,1976-01-17,178,113.5,Ms1w,6,1
2005.01,64,J9w,Yotsukasa,Irumagawa,Mie,1973-09-25,177.5,151.5,J5w,4,11
2005.01,924,J10e,Wakakirin,Oshiogawa,Hyogo,1983-09-21,186,129,J9w,7,8
2005.01,239,J10w,Maikaze,Oguruma,Aomori,1976-09-21,179,129,Ms5e,6,1
2005.01,130,J11e,Kaido,Tomozuna,Tokyo,1975-10-24,177.5,150,J8w,6,9
2005.01,34,J11w,Asanowaka,Takasago,Aichi,1969-12-11,176,140,J6w,4,11
2005.01,1243,J12e,Katayama,Onomatsu,Shizuoka,1979-09-06,179,128,J11e,7,8
2005.01,222,J12w,Sumanofuji,Nakamura,Hyogo,1977-12-21,177,145,Ms3e,5,2
2005.01,163,J13e,Senshuyama,Takasago,Osaka,1975-09-01,178,135,Ms3w,5,2
2005.01,47,J13w,Chiyotenzan,Kokonoe,Osaka,1976-02-06,183.5,138,J10w,6,9
2005.01,864,J14e,Bushuyama,Musashigawa,Aomori,1976-05-21,191,160.5,J8e,5,10
2005.01,122,J14w,Daimanazuru,Asahiyama,Nara,1977-01-16,189,159.5,Ms2w,4,3
2005.01,206,Ms1e,Kotokasuga,Sadogatake,Fukuoka,1977-08-25,180,127,J14e,7,8
2005.01,97,Ms1w,Tochinohana,Kasugano,Iwate,1973-02-28,183.5,137.8,Ms4e,4,3
2005.01,371,Ms2e,Kyokunankai,Oshima,Kagoshima,1977-12-14,180,116,Ms6e,5,2
2005.01,147,Ms2w,Toyonokuni,Tokitsukaze,Niigata,1979-05-23,181,134,J13e,6,9
2005.01,175,Ms3e,Ushiomaru,Azumazeki,Shizuoka,1978-05-11,176.5,166,J11w,5,10
2005.01,365,Ms3w,Kotokuni,Sadogatake,Okayama,1978-07-10,185,142.5,Ms7e,4,3
2005.01,898,Ms4e,Chiyohakuho,Kokonoe,Kumamoto,1983-04-21,180,120,Ms8e,4,3
2005.01,74,Ms4w,Kotokanyu,Sadogatake,Hokkaido,1966-02-02,182,126.7,Ms11e,5,2
2005.01,5988,Ms5e,Kanbayashi,Hakkaku,Yamagata,1981-05-18,176,132,Ms8w,4,3
2005.01,240,Ms5w,Ichinotani,Nakamura,Aomori,1976-06-10,181.6,128,Ms1e,3,4
2005.01,5984,Ms6e,Shiraishi,Mihogaseki,Kumamoto,1981-07-16,173,120,Ms54e,7,0
2005.01,216,Ms6w,Raiko,Hakkaku,Osaka,1978-05-05,188,156.1,Ms16w,6,1
2005.01,134,Ms7e,Fukuzono,Izutsu,Kagoshima,1973-01-29,181,110,Ms17e,6,1
2005.01,167,Ms7w,Tamamitsukuni,Kataonami,Fukushima,1975-12-28,193.5,146.5,Ms14w,5,2
2005.01,136,Ms8e,Dewanosato,Dewanoumi,Saitama,1970-11-22,182,127,Ms12w,4,3
2005.01,68,Ms8w,Gokenzan,Takanohana,Kagawa,1973-07-12,194,177,Ms13w,4,3
2005.01,180,Ms9e,Wakainami,Tatsunami,Tokyo,1975-12-29,181,126,Ms19e,5,2
2005.01,90,Ms9w,Fukkoyama,Dewanoumi,Hyogo,1976-06-28,174,130,Ms15e,4,3
2005.01,901,Ms10e,Hananosato,Takasago,Ibaraki,1983-05-08,180,111,Ms15w,4,3
2005.01,1031,Ms10w,Ryuo,Miyagino,Mongolia,1983-03-11,176,137,Ms6w,3,4
2005.01,251,Ms11e,Nodera,Matsugane,Ibaraki,1978-07-27,176.5,144,Ms30w,6,1
2005.01,244,Ms11w,Kaishozan,Hanaregoma,Okayama,1976-06-17,191.5,128,Ms2e,2,5
2005.01,1141,Ms12e,Musashiryu,Musashigawa,Mongolia,1982-01-31,188.5,120,Ms22e,5,2
2005.01,874,Ms12w,Hamanishiki,Oitekaze,Kumamoto,1976-11-23,181,125,J14w,1,14
