basho,id,rank,rikishi,heya,shusshin,birth_date,height,weight,prev,prev_w,prev_l
2007.01,878,Y1e,Asashoryu,Takasago,Mongolia,1980-09-27,184,146,Y1e,15,0
2007.01,2830,O1e,Kotooshu,Sadogatake,Bulgaria,1983-02-19,204,140.9,O1w,10,5
2007.01,19,O1w,Tochiazuma,Tamanoi,Tokyo,1976-11-09,180,153.5,O2e,10,5
2007.01,7,O2e,Kaio,Tomozuna,Fukuoka,1972-07-24,184.5,167.7,O3w,10,5
2007.01,8,O2w,Chiyotaikai,Kokonoe,Oita,1976-04-29,181,158,O1e,9,6
2007.01,1123,O3w,Hakuho,Miyagino,Mongolia,1985-03-11,192,148.2,O2w,0,0
2007.01,876,S1e,Kotomitsuki,Sadogatake,Aichi,1976-04-11,182,156,S1w,9,6
2007.01,842,S1w,Miyabiyama,Musashigawa,Ibaraki,1977-07-28,188,181.5,S1e,8,7
2007.01,1235,K1e,Kisenosato,Naruto,Ibaraki,1986-07-03,186.5,155.5,K1e,8,7
2007.01,1421,K1w,Roho,Otake,Russia,1980-03-09,194,146.5,K2w,8,7
2007.01,1226,M1e,Kotoshogiku,Sadogatake,Fukuoka,1984-01-30,179,150,M2e,10,5
2007.01,31,M1w,Dejima,Musashigawa,Ishikawa,1974-03-21,181,160.5,M3w,10,5
2007.01,2818,M2e,Tokitenku,Tokitsukaze,Mongolia,1979-09-10,187,140.3,M3e,9,6
2007.01,89,M2w,Aminishiki,Ajigawa,Aomori,1978-10-03,185,129.5,K2e,6,9
2007.01,41,M3e,Kyokutenho,Oshima,Mongolia,1974-09-13,192,152.4,M6e,10,5
2007.01,6432,M3w,Baruto,Onoe,Estonia,1984-11-05,198,167.8,M6w,10,5
2007.01,1111,M4e,Ama,Ajigawa,Mongolia,1984-04-14,185,113,M1e,6,9
2007.01,6018,M4w,Homasho,Shikoroyama,Yamaguchi,1981-04-16,185.5,138.5,M11e,12,3
2007.01,875,M5e,Takamisakari,Azumazeki,Aomori,1976-05-12,188,133.5,M9e,10,5
2007.01,1187,M5w,Kokkai,Oitekaze,Georgia,1981-03-10,189,165,K1w,3,12
2007.01,1009,M6e,Asasekiryu,Takasago,Mongolia,1981-08-07,185.5,143.5,M9w,10,5
2007.01,10,M6w,Tochinonada,Kasugano,Ishikawa,1974-02-26,187,161,M5w,7,8
2007.01,865,M7e,Kasugao,Kasugayama,Korea,1977-07-01,183,153,M7w,8,7
2007.01,2834,M7w,Futeno,Dewanoumi,Kumamoto,1980-08-28,180.5,149,M2w,5,10
2007.01,1219,M8e,Kakuryu,Izutsu,Mongolia,1985-08-10,185.5,126,M8w,8,7
2007.01,1284,M8w,Takekaze,Oguruma,Akita,1979-06-21,171,142,M4e,6,9
2007.01,1204,M9e,Kakizoe,Musashigawa,Oita,1978-08-12,177,136,M4w,6,9
2007.01,1227,M9w,Toyonoshima,Tokitsukaze,Kochi,1983-06-29,170,130.4,M10w,8,7
2007.01,1087,M10e,Iwakiyama,Sakaigawa,Aomori,1976-03-02,184.5,175,M1w,2,13
2007.01,96,M10w,Jumonji,Michinoku,Aomori,1976-06-09,184,153.7,J2w,13,2
2007.01,17,M11e,Tamakasuga,Kataonami,Ehime,1972-01-07,182,153.5,M14e,9,6
2007.01,97,M11w,Tochinohana,Kasugano,Iwate,1973-02-28,184,140,M13w,8,7
2007.01,78,M12e,Toyozakura,Michinoku,Hiroshima,1974-03-12,183,134.3,M8e,5,10
2007.01,50,M12w,Tokitsuumi,Tokitsukaze,Nagasaki,1973-11-08,183,131.5,J4e,10,5
2007.01,107,M13e,Kasuganishiki,Kasugano,Chiba,1975-08-22,188,146,J3e,9,6
2007.01,5967,M13w,Yoshikaze,Oguruma,Oita,1982-03-19,176.5,132.6,J1e,8,7
2007.01,152,M14e,Tamanoshima,Kataonami,Fukushima,1977-09-15,187,157.4,M7e,2,9
2007.01,1402,M14w,Hakurozan,Kitanoumi,Russia,1982-02-06,189,140,M14w,7,8
2007.01,113,M15e,Asofuji,Ajigawa,Aomori,1976-01-17,179,124.5,M13e,6,9
2007.01,175,M15w,Ushiomaru,Azumazeki,Shizuoka,1978-05-11,176,168,M12e,5,10
2007.01,13,M16e,Tosanoumi,Isenoumi,Kochi,1972-02-16,186,146,M12w,5,10
2007.01,63,M16w,Otsukasa,Irumagawa,Hyogo,1971-02-18,175,148.4,M15e,7,8
2007.01,135,J1e,Hokutoriki,Hakkaku,Tochigi,1977-10-31,182.5,152.8,M5e,0,9
2007.01,70,J1w,Kitazakura,Kitanoumi,Hiroshima,1971-12-15,189,173,M11w,4,11
2007.01,1243,J2e,Katayama,Onomatsu,Shizuoka,1979-09-06,179,136.5,M15w,6,9
2007.01,6473,J2w,Tochiozan,Kasugano,Kochi,1987-03-09,187,132,J7w,9,6
2007.01,5985,J3e,Satoyama,Onoe,Kagoshima,1981-05-31,177.5,112.7,J5w,8,6
2007.01,1018,J3w,Shimotori,Tokitsukaze,Niigata,1978-03-18,188,139.4,J1w,6,9
2007.01,1032,J4e,Hochiyama,Sakaigawa,Aomori,1982-01-18,189,142,J3w,7,8
2007.01,39,J4w,Wakanosato,Naruto,Aomori,1976-07-10,184.5,154.8,J11e,10,5
2007.01,88,J5e,Tamarikido,Kataonami,Tokyo,1974-04-19,184.5,138,J4w,7,8
2007.01,204,J5w,Ryuho,Michinoku,Okinawa,1977-06-18,183,149,J5e,7,8
2007.01,71,J6e,Takanowaka,Naruto,Nagasaki,1976-04-02,190,148,J2e,5,10
2007.01,40,J6w,Kaiho,Hakkaku,Aomori,1973-04-17,178,121,J9w,8,7
2007.01,1031,J7e,Ryuo,Miyagino,Mongolia,1983-03-11,176.5,147.2,J6w,7,8
2007.01,2847,J7w,Masatsukasa,Irumagawa,Aomori,1984-06-07,182,130,J10e,8,7
2007.01,72,J8e,Tochisakae,Kasugano,Saga,1974-06-27,185,152.1,J7e,7,8
2007.01,371,J8w,Kyokunankai,Oshima,Kagoshima,1977-12-14,180,126.5,J12w,9,6
2007.01,99,J9e,Shunketsu,Hanaregoma,Saitama,1976-07-13,177,121.6,J10w,8,6
2007.01,222,J9w,Sumanofuji,Nakamura,Hyogo,1977-12-21,176,142,J13e,9,6
2007.01,287,J10e,Wakatoba,Oguruma,Tokyo,1977-06-15,176,127.7,J8e,7,8
2007.01,6468,J10w,Goeido,Sakaigawa,Osaka,1986-04-06,182,125,J11w,8,7
2007.01,1011,J11e,Hakuba,Michinoku,Mongolia,1983-05-05,186.5,113.6,Ms2e,7,0
2007.01,247,J11w,Oga,Takasago,Fukuoka,1977-10-22,180,115.5,J6e,6,9
2007.01,145,J12e,Kobo,Miyagino,Kagoshima,1973-08-18,181,137.5,J9e,6,9
2007.01,6527,J12w,Wakanoho,Magaki,Russia,1988-07-08,193,141.2,Ms1e,4,3
2007.01,864,J13e,Bushuyama,Musashigawa,Aomori,1976-05-21,191.5,159.5,Ms4w,5,2
2007.01,1106,J13w,Koryu,Hanakago,Mongolia,1984-02-04,186,144.2,Ms3e,4,3
2007.01,6467,J14e,Toyohibiki,Sakaigawa,Yamaguchi,1984-11-16,183.5,160.5,Ms3w,4,3
2007.01,122,J14w,Daimanazuru,Asahiyama,Nara,1977-01-16,188.5,164.5,J8w,4,11
2007.01,5984,Ms1e,Shiraishi,Onoe,Kumamoto,1981-07-16,173,125,Ms4e,4,3
2007.01,795,Ms1w,Tamaasuka,Kataonami,Aichi,1983-01-26,184,144,J14w,7,8
2007.01,5977,Ms2e,Takamifuji,Azumazeki,Okayama,1980-05-15,187.2,136,Ms6e,5,2
2007.01,300,Ms2w,Dairaido,Takadagawa,Fukuoka,1980-04-17,178,146.1,Ms7w,5,2
2007.01,898,Ms3e,Chiyohakuho,Kokonoe,Kumamoto,1983-04-21,180,128,Ms15w,6,1
2007.01,168,Ms3w,Hokutoiwa,Hakkaku,Aomori,1974-06-01,176,164,J13w,5,10
2007.01,216,Ms4e,Raiko,Hakkaku,Osaka,1978-05-05,188.5,158.6,Ms6w,4,3
2007.01,1136,Ms4w,Mokonami,Tatsunami,Mongolia,1984-04-05,186.5,134,J14e,5,10
2007.01,5988,Ms5e,Kanbayashi,Hakkaku,Yamagata,1981-05-18,178,133.2,J12e,4,11
2007.01,1134,Ms5w,Miyamoto,Musashigawa,Saitama,1979-02-07,180.5,162,Ms11w,5,2
2007.01,6483,Ms6e,Maeta,Hanaregoma,Yamagata,1982-06-24,179,188,Ms8w,4,3
2007.01,1225,Ms6w,Asahimaru,Takasago,Osaka,1979-08-21,178,185.5,Ms12w,5,2
2007.01,6440,Ms7e,Sugita,Kitanoumi,Shizuoka,1981-11-24,165.5,105.5,Ms9e,4,3
2007.01,126,Ms7w,Tochinoyama,Chiganoura,Tokyo,1973-02-24,175.5,129,Ms25w,6,1
2007.01,206,Ms8e,Kotokasuga,Sadogatake,Fukuoka,1977-08-25,182,133.5,Ms18e,5,2
2007.01,1152,Ms8w,Daiyubu,Shibatayama,Mongolia,1983-03-30,190,108,Ms19e,5,2
2007.01,924,Ms9e,Wakakirin,Oguruma,Hyogo,1983-09-21,186,125.8,Ms13e,4,3
2007.01,784,Ms9w,Daishoyama,Oitekaze,Tokyo,1976-02-25,176.5,154,Ms5e,3,4
