basho,id,rank,rikishi,heya,shusshin,birth_date,height,weight,prev,prev_w,prev_l
1994.01,1,Y1e,Akebono,Azumazeki,U.S.A.,1969-05-08,204,215,Y1e,13,2
1994.01,3,O1e,Wakanohana,Futagoyama,Tokyo,1971-01-20,179,117,O1w,12,3
1994.01,2,O1w,Takanohana,Futagoyama,Tokyo,1972-08-12,185,142,O1e,7,8
1994.01,4,S1e,Musashimaru,Musashigawa,U.S.A.,1971-05-02,191,183,S2wHD,13,2
1994.01,5,S1w,Takanonami,Futagoyama,Aomori,1971-10-27,195,157,S1e,12,3
1994.01,12,S2eHD,Kotonishiki,Sadogatake,Gunma,1968-06-08,176,131,S1w,9,6
1994.01,1287,S2wHD,Konishiki,Takasago,U.S.A.,1963-12-31,185,258,O2eHD,6,9
1994.01,52,K1e,Tomonohana,Tatsunami,Kumamoto,1964-06-23,173,113,M2w,8,7
1994.01,1290,K1w,Wakashoyo,Futagoyama,Tokyo,1966-03-08,182,163,M5w,8,7
1994.01,14,M1e,Kotonowaka,Sadogatake,Yamagata,1968-05-15,192,165,K1e,7,8
1994.01,23,M1w,Tochinowaka,Kasugano,Wakayama,1962-05-22,191,156,M6e,8,7
1994.01,9,M2e,Akinoshima,Futagoyama,Hiroshima,1967-03-16,174,144,K1w,6,9
1994.01,1288,M2w,Kotobeppu,Sadogatake,Oita,1965-10-17,178,170,M8w,8,7
1994.01,51,M3e,Daizen,Nishonoseki,Osaka,1964-12-14,188,144,M12e,10,5
1994.01,6,M3w,Musoyama,Musashigawa,Ibaraki,1972-02-14,183,152,M11w,9,6
1994.01,49,M4e,Misugisato,Futagoyama,Shiga,1962-07-01,185,154,M2e,6,9
1994.01,1303,M4w,Kotofuji,Sadogatake,Chiba,1964-10-28,190,142,M4w,0,0
1994.01,15,M5e,Oginishiki,Dewanoumi,Chiba,1971-07-08,186,133,M16e,11,4
1994.01,45,M5w,Daishoho,Tatsunami,Hokkaido,1967-05-07,187,143,M3e,6,8
1994.01,1286,M6e,Kenko,Takadagawa,Osaka,1967-06-27,190,132,M5e,7,8
1994.01,7,M6w,Kaio,Tomozuna,Fukuoka,1972-07-24,184,147,M15w,10,5
