basho,id,rank,rikishi,heya,shusshin,birth_date,height,weight,prev,prev_w,prev_l
1992.01,1339,Y1e,Hokutoumi,Kokonoe,Hokkaido,1963-06-22,181,147,Y1w,4,4
1992.01,1342,Y1w,Asahifuji,Oshima,Aomori,1960-07-06,189,143,Y1e,0,0
1992.01,1287,O1e,Konishiki,Takasago,U.S.A.,1963-12-31,187,236,O1w,13,2
1992.01,1301,O1w,Kirishima,Izutsu,Kagoshima,1959-04-03,187,127,O1e,10,5
1992.01,12,S1e,Kotonishiki,Sadogatake,Gunma,1968-06-08,177,134,K1w,12,3
1992.01,18,S1w,Takatoriki,Fujishima,Hyogo,1967-09-28,181,139,S1e,8,7
1992.01,23,K1e,Tochinowaka,Kasugano,Wakayama,1962-05-22,190,156,K1e,10,5
1992.01,1,K1w,Akebono,Azumazeki,U.S.A.,1969-05-08,204,194,M1w,8,7
1992.01,28,M1e,Mitoizumi,Takasago,Ibaraki,1962-09-02,194,181,M2e,8,7
1992.01,3,M1w,Wakahanada,Fujishima,Tokyo,1971-01-20,180,117,K2eHD,7,8
1992.01,2,M2e,Takahanada,Fujishima,Tokyo,1972-08-12,186,133,M1e,7,8
1992.01,1307,M2w,Daishoyama,Tatsunami,Ishikawa,1966-07-07,182,178,M7e,9,6
1992.01,4,M3e,Musashimaru,Musashigawa,U.S.A.,1971-05-02,190,161,M12e,11,4
1992.01,1330,M3w,Ryogoku,Dewanoumi,Nagasaki,1962-07-30,185,170,M10w,10,5
1992.01,30,M4e,Kitakachidoki,Isenoumi,Hokkaido,1966-01-01,184,139,M9w,9,6
1992.01,1310,M4w,Kirinishiki,Kagamiyama,Gunma,1962-08-31,188,171,M3w,7,8
1992.01,9,M5e,Akinoshima,Fujishima,Hiroshima,1967-03-16,176,139,S1w,4,11
1992.01,49,M5w,Misugisato,Futagoyama,Shiga,1962-07-01,185,149,M2w,6,9
1992.01,1295,M6e,Kyokudozan,Oshima,Kagoshima,1964-10-14,182,102,M8w,8,7
1992.01,44,M6w,Kushimaumi,Dewanoumi,Wakayama,1965-08-06,188,179,M3e,6,9
1992.01,42,M7e,Mainoumi,Dewanoumi,Aomori,1968-02-17,174,93,M9e,8,7
1992.01,1332,M7w,Sakahoko,Izutsu,Kagoshima,1961-06-18,182,124,M7w,0,0
1992.01,33,M8e,Terao,Izutsu,Kagoshima,1963-02-02,185,111,M4e,6,9
1992.01,1292,M8w,Kotogaume,Sadogatake,Toyama,1963-10-05,180,173,M10e,8,7
1992.01,1334,M9e,Wakasegawa,Isegahama,Yamagata,1962-07-28,189,148,M5e,6,9
1992.01,14,M9w,Kotonowaka,Sadogatake,Yamagata,1968-05-15,192,155,M8e,7,8
1992.01,1299,M10e,Kiraiho,Takadagawa,Kanagawa,1966-01-05,187,153,M15e,9,6
1992.01,1296,M10w,Kasugafuji,Ajigawa,Miyagi,1966-02-20,180,140,M6e,6,9
1992.01,5,M11e,Takanonami,Fujishima,Aomori,1971-10-27,195,151,M13e,8,7
1992.01,1303,M11w,Kotofuji,Sadogatake,Chiba,1964-10-28,192,150,M6w,6,9
1992.01,157,M12e,Tomoefuji,Kokonoe,Akita,1971-01-27,191,144,M16e,9,6
1992.01,1302,M12w,Takamisugi,Futagoyama,Kanagawa,1961-03-01,179,150,M4w,5,10
1992.01,51,M13e,Daizen,Nishonoseki,Osaka,1964-12-14,189,145,M11w,7,8
1992.01,1311,M13w,Kototsubaki,Sadogatake,Okinawa,1960-12-06,188,147,M5w,4,11
1992.01,45,M14e,Daishoho,Tatsunami,Hokkaido,1967-05-07,188,139,M12w,7,8
1992.01,160,M14w,Tatsuhikari,Tatsunami,Hokkaido,1969-10-25,192,187,J2w,10,5
1992.01,1338,M15e,Ozutsu,Taiho,Mie,1956-04-18,183,137,M13w,7,8
1992.01,1290,M15w,Wakashoyo,Futagoyama,Tokyo,1966-03-08,181,153,J4w,10,5
1992.01,1326,M16e,Tsunenoyama,Dewanoumi,Kagoshima,1963-01-29,182,115,J5w,10,5
1992.01,37,M16w,Kotoinazuma,Sadogatake,Gunma,1962-04-26,181,130,M14w,7,8
1992.01,1286,J1e,Kenko,Takadagawa,Osaka,1967-06-27,189.4,128,J4e,9,6
1992.01,48,J1w,Oginohana,Dewanoumi,Chiba,1967-11-18,189,144,J2e,8,7
1992.01,60,J2e,Toyonoumi,Fujishima,Fukuoka,1965-09-22,190,190,M15w,7,8
1992.01,1335,J2w,Takanofuji,Kokonoe,Tokyo,1963-10-09,192,138,J3e,8,7
1992.01,1319,J3e,Tachihikari,Tomozuna,Chiba,1963-09-12,194,142.5,J3w,8,7
1992.01,1314,J3w,Owakamatsu,Taiho,Saitama,1966-11-17,187,148,M14e,6,5
1992.01,1317,J4e,Hananokuni,Hanaregoma,Osaka,1959-10-15,185,145,J1w,7,8
1992.01,1329,J4w,Daigaku,Tokitsukaze,Shiga,1965-04-14,185,145,J9e,10,5
1992.01,1309,J5e,Tamakairiki,Kataonami,Tokyo,1966-07-16,183,139,J7e,9,6
1992.01,87,J5w,Wakanoyama,Musashigawa,Wakayama,1972-05-12,177,137,J6e,8,7
1992.01,53,J6e,Tokitsunada,Tokitsukaze,Tokushima,1969-08-02,187,167,J6w,8,7
1992.01,1337,J6w,Tochitsukasa,Kasugano,Aichi,1958-04-25,180,157,M11e,2,13
1992.01,1305,J7e,Kyokugozan,Oshima,Chiba,1968-09-18,182,176,J5e,7,8
1992.01,1333,J7w,Sasshunada,Izutsu,Kagoshima,1957-06-07,183,150,J11w,8,7
1992.01,1306,J8e,Hitachiryu,Oshiogawa,Ibaraki,1969-10-19,180,127,J12w,8,7
1992.01,77,J8w,Yutakafuji,Tokitsukaze,Niigata,1970-04-14,186,168,Ms4w,7,0
1992.01,55,J9e,Zenshinyama,Takadagawa,Kanagawa,1966-04-22,181,130,J13w,8,7
1992.01,1331,J9w,Saganobori,Oshiogawa,Saga,1961-11-27,191,113.5,J7w,7,8
1992.01,1315,J10e,Enazakura,Oshiogawa,Gifu,1960-07-29,181,132,J1e,4,11
1992.01,7,J10w,Kaio,Tomozuna,Fukuoka,1972-07-24,185,122,Ms2e,5,2
1992.01,1327,J11e,Yoshinobori,Kumagatani,Fukuoka,1968-08-19,175,122,Ms5w,6,1
1992.01,1294,J11w,Naminohana,Futagoyama,Aomori,1969-03-19,178,125,Ms2w,5,2
1992.01,1285,J12e,Asahisato,Oshima,Osaka,1965-11-09,187,136,J8e,6,9
1992.01,15,J12w,Oginishiki,Dewanoumi,Chiba,1971-07-08,185,115,J8w,6,9
1992.01,24,J13e,Ganyu,Kitanoumi,Hyogo,1970-08-06,185,154,Ms1e,4,3
1992.01,16,J13w,Minatofuji,Minato,Gunma,1968-07-06,186,157,Ms1w,4,3
1992.01,1345,Ms1e,Tamaryu,Kataonami,Nagasaki,1954-07-22,191,120,J10e,6,9
1992.01,1324,Ms1w,Daikiko,Musashigawa,Wakayama,1967-09-15,186,171,J10w,6,9
1992.01,73,Ms2e,Kanechika,Kitanoumi,Kanagawa,1969-11-12,182.2,151.5,Ms4e,4,3
1992.01,1340,Ms2w,Taishin,Kitanoumi,Osaka,1967-04-25,182,147,J9w,5,10
1992.01,1341,Ms3e,Seifuriki,Oshiogawa,Aomori,1967-03-11,184.5,122.6,Ms5e,4,3
1992.01,1344,Ms3w,Akinomine,Mihogaseki,Hiroshima,1968-11-25,180,133.9,J11e,5,10
1992.01,133,Ms4e,Genkai,Asahiyama,Fukuoka,1968-12-26,179.5,166.5,Ms11w,5,2
1992.01,1323,Ms4w,Kumao,Takasago,Saitama,1965-10-02,176,115,J12e,5,10
1992.01,1390,Ms5e,Kondo,Onaruto,Kanagawa,1965-03-25,181.7,123.5,Ms12w,5,2
1992.01,82,Ms5w,Tochitenko,Kasugano,Gunma,1967-02-19,181,139,Ms13e,5,2
1992.01,91,Ms6e,Hoshiandesu,Michinoku,Argentina,1968-06-01,190,146,Ms9e,4,3
1992.01,11,Ms6w,Aogiyama,Tokitsukaze,Shiga,1970-02-18,181,138,J13e,4,11
1992.01,1435,Ms7e,Rikitoshi,Asahiyama,Osaka,1967-06-23,179.5,159,Ms9w,4,3
1992.01,1313,Ms7w,Komafudo,Hanaregoma,Toyama,1967-09-15,182,137,Ms3w,3,4
1992.01,1557,Ms8e,Shinminato,Minato,Aichi,1970-02-16,181.8,145,Ms11e,4,3
1992.01,1297,Ms8w,Dairyu,Taiho,Osaka,1960-09-30,181.3,136.2,Ms16w,5,2
1992.01,1546,Ms9e,Kishinosato,Izutsu,Osaka,1966-09-06,183.6,144,Sd4e,7,0
1992.01,1586,Ms9w,Daishinto,Tokitsukaze,Osaka,1967-07-01,173,144,Ms22w,6,1
1992.01,372,Ms10e,Chokairyu,Kagamiyama,Yamagata,1965-05-19,182,160.5,Ms25e,6,1
1992.01,241,Ms10w,Tatsutanaka,Tatsunami,Osaka,1966-04-22,178,147.4,Ms12e,4,3
1992.01,1392,Ms11e,Akinokuni,Tokitsukaze,Hiroshima,1966-10-21,178,90,Ms6e,3,4
1992.01,1346,Ms11w,Kengaku,Miyagino,Tokushima,1968-12-30,182.5,167.3,Ms6w,3,4
1992.01,1288,Ms12e,Kotobeppu,Sadogatake,Oita,1965-10-17,178,140.6,Ms15e,4,3
1992.01,159,Ms12w,Kiyota,Dewanoumi,Fukushima,1969-06-21,180,146.5,Ms15w,4,3
1992.01,21,Ms13e,Asahiyutaka,Oshima,Aichi,1968-09-10,189,119,Ms7e,3,4
1992.01,1322,Ms13w,Hidenoumi,Mihogaseki,Osaka,1965-11-20,188,217.5,Ms17e,4,3
1992.01,1388,Ms14e,Tochisagami,Kasugano,Kanagawa,1965-11-17,187,149,Ms3e,2,5
1992.01,1373,Ms14w,Fukunosato,Tatsutagawa,Iwate,1961-06-04,180.2,102,Ms17w,4,3
1992.01,67,Ms15e,Tochinofuji,Kasugano,Fukuoka,1969-11-15,178,165,Ms24e,5,2
