basho,id,rank,rikishi,heya,shusshin,birth_date,height,weight,prev,prev_w,prev_l
2017.01,1219,Y1e,Kakuryu,Izutsu,Mongolia,1985-08-10,186,150,Y1w,14,1
2017.01,1111,Y1w,Harumafuji,Isegahama,Mongolia,1984-04-14,185,135,Y1e,11,4
2017.01,1123,Y2e,Hakuho,Miyagino,Mongolia,1985-03-11,193,150.7,Y2e,11,4
2017.01,1235,O1e,Kisenosato,Tagonoura,Ibaraki,1986-07-03,188,177,O1w,12,3
2017.01,6468,O1w,Goeido,Sakaigawa,Osaka,1986-04-06,183,158.2,O1e,9,6
2017.01,11927,O2e,Terunofuji,Isegahama,Mongolia,1991-11-29,192,158.5,O2w,8,7
2017.01,1226,O2w,Kotoshogiku,Sadogatake,Fukuoka,1984-01-30,180,177,O2e,5,10
2017.01,5944,S1e,Tamawashi,Kataonami,Mongolia,1984-11-16,190,161,K1w,10,5
2017.01,12130,S1w,Shodai,Tokitsukaze,Kumamoto,1991-11-05,182,150,M3w,11,4
2017.01,6480,K1e,Takayasu,Tagonoura,Ibaraki,1990-02-28,187,163,S1e,7,8
2017.01,6599,K1w,Tochinoshin,Kasugano,Georgia,1987-10-13,192,162,M6w,10,5
2017.01,11728,M1e,Takarafuji,Isegahama,Aomori,1987-02-18,186,161.1,M5w,9,6
2017.01,12210,M1w,Mitakeumi,Dewanoumi,Nagano,1992-12-25,179,149,K1e,6,9
2017.01,6614,M2e,Shohozan,Nishonoseki,Fukuoka,1984-02-09,177,134.5,M5e,8,7
2017.01,2832,M2w,Arawashi,Minezaki,Mongolia,1986-08-21,184,122,M10w,11,4
2017.01,6463,M3e,Okinoumi,Hakkaku,Shimane,1985-07-29,190,154,S1w,5,10
2017.01,6491,M3w,Ikioi,Isenoumi,Osaka,1986-10-11,194,157,M8w,10,5
2017.01,6473,M4e,Tochiozan,Kasugano,Kochi,1987-03-09,189,154,M1e,6,9
2017.01,12055,M4w,Endo,Oitekaze,Ishikawa,1990-10-19,183,145.6,M3e,7,8
2017.01,1284,M5e,Takekaze,Oguruma,Akita,1979-06-21,170,144,M7e,9,6
2017.01,5967,M5w,Yoshikaze,Oguruma,Oita,1982-03-19,175,140.3,M2w,6,9
2017.01,11785,M6e,Chiyoshoma,Kokonoe,Mongolia,1991-07-20,183,118.2,M10e,9,6
2017.01,9079,M6w,Kotoyuki,Sadogatake,Kagawa,1991-04-02,176,162.4,M4e,6,9
2017.01,11784,M7e,Myogiryu,Sakaigawa,Hyogo,1986-10-22,187,148,M9e,8,7
2017.01,11786,M7w,Aoiyama,Kasugano,Bulgaria,1986-06-19,192,192.6,M1w,4,11
2017.01,12239,M8e,Hokutofuji,Hakkaku,Saitama,1992-07-15,182,158,M11w,9,6
2017.01,6642,M8w,Chiyonokuni,Kokonoe,Mie,1990-07-10,184,143.8,M4w,5,10
2017.01,6753,M9e,Kaisei,Tomozuna,Brazil,1986-12-18,195,187.8,M2e,3,12
2017.01,12051,M9w,Ishiura,Miyagino,Tottori,1990-01-10,173,103.6,M15e,10,5
2017.01,11724,M10e,Takanoiwa,Takanohana,Mongolia,1990-02-26,181,145.5,M7w,6,9
2017.01,4980,M10w,Sokokurai,Arashio,China,1984-01-09,185,131.6,M14e,9,6
2017.01,11845,M11e,Kagayaki,Takadagawa,Ishikawa,1994-06-01,193,144.3,M9w,6,9
2017.01,6596,M11w,Nishikigi,Isenoumi,Iwate,1990-08-25,184.5,149.5,M6e,4,11
2017.01,12191,M12e,Takakeisho,Takanohana,Hyogo,1996-08-05,173,149,J3w,12,3
2017.01,12144,M12w,Daishomaru,Oitekaze,Osaka,1991-07-10,175,153,M12e,7,8
2017.01,6572,M13e,Gagamaru,Kise,Georgia,1987-02-23,185,202.6,M16e,8,7
2017.01,12107,M13w,Ichinojo,Minato,Mongolia,1993-04-07,190,183,M13w,7,8
2017.01,6928,M14e,Chiyootori,Kokonoe,Kagoshima,1992-10-11,179,178.5,M12w,6,9
2017.01,11934,M14w,Chiyotairyu,Kokonoe,Tokyo,1988-11-14,182,166.8,M14w,7,8
2017.01,11840,M15e,Chiyoo,Kokonoe,Kagoshima,1991-05-29,178,149.6,J2w,8,7
2017.01,2879,M15w,Sadanoumi,Sakaigawa,Kumamoto,1987-05-11,184,131.2,M8e,3,12
2017.01,11987,M16e,Osunaarashi,Otake,Egypt,1992-02-10,189,146,J6e,9,4
2017.01,6467,J1e,Toyohibiki,Sakaigawa,Yamaguchi,1984-11-16,185,185.2,M15w,6,9
2017.01,12026,J1w,Hidenoumi,Kise,Tokyo,1989-06-11,184,156.2,M13e,4,11
2017.01,7239,J2e,Kyokushuho,Tomozuna,Mongolia,1988-08-09,191,149.6,M11e,3,12
2017.01,11985,J2w,Daieisho,Oitekaze,Saitama,1993-11-10,179,135.7,J4w,8,7
2017.01,12226,J3e,Ura,Kise,Osaka,1992-06-22,172,113,J5e,8,7
2017.01,7240,J3w,Chiyomaru,Kokonoe,Kagoshima,1991-04-17,178,176.3,J1e,6,9
2017.01,6559,J4e,Seiro,Shikoroyama,Mongolia,1988-08-18,185,131.2,J11w,11,4
2017.01,11723,J4w,Azumaryu,Tamanoi,Mongolia,1987-05-12,192,147.2,J6w,8,7
2017.01,813,J5e,Kitataiki,Yamahibiki,Tokyo,1982-10-05,185,149,J10e,10,5
2017.01,12043,J5w,Onosho,Onomatsu,Aomori,1996-07-04,176,148.5,J4e,7,8
2017.01,12292,J6e,Oyanagi,Tokitsukaze,Niigata,1993-09-22,185,171,J12w,11,4
2017.01,7153,J6w,Kotoeko,Sadogatake,Miyazaki,1991-11-20,175.5,111.6,J2e,6,9
2017.01,8899,J7e,Kyokutaisei,Tomozuna,Hokkaido,1989-10-18,184,128.2,J11e,10,5
2017.01,89,J7w,Aminishiki,Isegahama,Aomori,1978-10-03,186,152,J8e,8,7
2017.01,11726,J8e,Tokushoryu,Kise,Nara,1986-08-22,182,170.6,J3e,6,9
2017.01,12113,J8w,Tsurugisho,Oitekaze,Tokyo,1991-07-27,184,154,J5w,7,8
2017.01,11989,J9e,Yamaguchi,Miyagino,Fukuoka,1989-05-13,183,155.6,J10w,9,6
2017.01,7143,J9w,Amakaze,Oguruma,Kagawa,1991-07-07,184,200.5,J1w,5,10
2017.01,1405,J10e,Amuru,Onomatsu,Russia,1983-08-25,192,126,J7e,7,8
2017.01,6594,J10w,Ryuden,Takadagawa,Yamanashi,1990-11-10,192,145,J13e,9,6
2017.01,8904,J11e,Homarefuji,Isegahama,Aomori,1985-05-06,180,163.7,J8w,7,8
2017.01,5985,J11w,Satoyama,Onoe,Kagoshima,1981-05-31,177,121,J14e,9,6
2017.01,6531,J12e,Asahisho,Tomozuna,Chiba,1989-07-21,174,144.6,J7w,6,9
2017.01,11947,J12w,Rikishin,Tatsunami,Kumamoto,1995-10-07,188,132,Ms1e,6,1
2017.01,11868,J13e,Terutsuyoshi,Isegahama,Hyogo,1995-01-17,169,112,Ms9w,7,0
