basho,id,rank,rikishi,heya,shusshin,birth_date,height,weight,prev,prev_w,prev_l
2012.01,1123,Y1e,Hakuho,Miyagino,Mongolia,1985-03-11,191,153.5,Y1e,14,1
2012.01,6432,O1e,Baruto,Onoe,Estonia,1984-11-05,197,184,O1e,11,4
2012.01,1226,O1w,Kotoshogiku,Sadogatake,Fukuoka,1984-01-30,179,174,O2w,11,4
2012.01,2830,O2e,Kotooshu,Sadogatake,Bulgaria,1983-02-19,203,154.5,O2e,9,6
2012.01,1111,O2w,Harumafuji,Isegahama,Mongolia,1984-04-14,186,128,O1w,8,7
2012.01,1235,O3w,Kisenosato,Naruto,Ibaraki,1986-07-03,188,171,S1e,10,5
2012.01,1219,S1e,Kakuryu,Izutsu,Mongolia,1985-08-10,187,143.5,S1w,10,5
2012.01,1227,S1w,Toyonoshima,Tokitsukaze,Kochi,1983-06-29,169,146.2,K1e,9,6
2012.01,842,K1e,Miyabiyama,Fujishima,Ibaraki,1977-07-28,187,186,M6w,11,4
2012.01,900,K1w,Wakakoyu,Onomatsu,Chiba,1984-02-24,180,167,M9w,12,3
2012.01,1284,M1e,Takekaze,Oguruma,Akita,1979-06-21,171.5,146.7,M7w,10,5
2012.01,89,M1w,Aminishiki,Isegahama,Aomori,1978-10-03,185,149,M6e,9,6
2012.01,6463,M2e,Okinoumi,Hakkaku,Shimane,1985-07-29,192,155.5,M1e,7,8
2012.01,6468,M2w,Goeido,Sakaigawa,Osaka,1986-04-06,183,141,M1w,7,8
2012.01,813,M3e,Kitataiki,Kitanoumi,Tokyo,1982-10-05,185,149.5,M5e,8,7
2012.01,6480,M3w,Takayasu,Naruto,Ibaraki,1990-02-28,185,155,M8w,9,6
2012.01,6018,M4e,Homasho,Shikoroyama,Yamaguchi,1981-04-16,186,151,K1w,4,11
2012.01,6767,M4w,Tochinowaka,Kasugano,Hyogo,1988-04-06,196,179.5,M4e,7,8
2012.01,11784,M5e,Myogiryu,Sakaigawa,Hyogo,1986-10-22,187,140.2,M11w,10,5
2012.01,6467,M5w,Toyohibiki,Sakaigawa,Yamaguchi,1984-11-16,185,176.6,M11e,9,6
2012.01,5967,M6e,Yoshikaze,Oguruma,Oita,1982-03-19,176,136,M5w,7,8
2012.01,41,M6w,Kyokutenho,Oshima,Mongolia,1974-09-13,191,158.4,M2w,4,11
2012.01,6771,M7e,Aran,Mihogaseki,Russia,1984-01-31,187,154.4,M3e,4,11
2012.01,11786,M7w,Aoiyama,Tagonoura,Bulgaria,1986-06-19,190,173.5,M16e,11,4
2012.01,6614,M8e,Shohozan,Matsugane,Fukuoka,1984-02-09,177,133.6,M15e,10,5
2012.01,6473,M8w,Tochiozan,Kasugano,Kochi,1987-03-09,189,148.5,M4w,5,6
2012.01,6599,M9e,Tochinoshin,Kasugano,Georgia,1987-10-13,192,158,M2e,2,13
2012.01,6497,M9w,Daido,Onomatsu,Tokyo,1982-08-21,187,160.5,M12e,8,7
2012.01,2818,M10e,Tokitenku,Tokitsukaze,Mongolia,1979-09-10,186,145,M7e,6,9
2012.01,6572,M10w,Gagamaru,Kitanoumi,Georgia,1987-02-23,185,198.7,M3w,2,13
2012.01,2851,M11e,Fujiazuma,Tamanoi,Tokyo,1987-04-19,181,182.5,M10w,7,8
2012.01,2842,M11w,Sadanofuji,Sakaigawa,Nagasaki,1984-12-25,189,170.5,M15w,8,7
2012.01,296,M12e,Yoshiazuma,Tamanoi,Kumamoto,1977-05-26,197,166,J1w,10,5
2012.01,7115,M12w,Tosayutaka,Tokitsukaze,Kochi,1985-03-10,178,139,J5e,10,5
2012.01,6642,M13e,Chiyonokuni,Kokonoe,Mie,1990-07-10,183,138.5,J3e,9,6
2012.01,6770,M13w,Tenkaiho,Onoe,Kumamoto,1984-10-14,183,191,J1e,8,7
2012.01,1215,M14e,Takanoyama,Naruto,Czech,1983-02-21,185,98,J3w,9,6
2012.01,6034,M14w,Sagatsukasa,Irumagawa,Shizuoka,1981-12-21,166,134,M12w,6,9
2012.01,1009,M15e,Asasekiryu,Takasago,Mongolia,1981-08-07,184,149.6,M13w,6,9
2012.01,7239,M15w,Kyokushuho,Oshima,Mongolia,1988-08-09,190,144,J6e,10,5
2012.01,6753,M16e,Kaisei,Tomozuna,Brazil,1986-12-18,194,179.5,M14e,6,9
2012.01,1266,M16w,Nionoumi,Kitanoumi,Shiga,1986-12-16,173,144,J4w,9,6
2012.01,5944,J1e,Tamawashi,Kataonami,Mongolia,1984-11-16,187,159.3,M13e,5,10
2012.01,1032,J1w,Hochiyama,Sakaigawa,Aomori,1982-01-18,189,151.5,J5w,9,6
2012.01,11728,J2e,Takarafuji,Isegahama,Aomori,1987-02-18,185,159,M14w,5,10
2012.01,39,J2w,Wakanosato,Naruto,Aomori,1976-07-10,184,162,M9e,2,4
2012.01,6491,J3e,Ikioi,Isenoumi,Osaka,1986-10-11,192,139,J14e,12,3
2012.01,6654,J3w,Masunoyama,Chiganoura,Chiba,1990-11-01,180,179.5,J2w,7,8
2012.01,1187,J4e,Kokkai,Oitekaze,Georgia,1981-03-10,190,143,M10e,1,14
2012.01,1134,J4w,Tsurugidake,Fujishima,Saitama,1979-02-07,180,161.5,M16w,4,11
2012.01,1141,J5e,Shotenro,Fujishima,Mongolia,1982-01-31,189,156.6,M8e,0,0
2012.01,6010,J5w,Kimurayama,Kasugano,Wakayama,1981-07-13,182,174,M17e,4,11
2012.01,11726,J6e,Tokushoryu,Kitanoumi,Nara,1986-08-22,181,157,J11w,10,5
2012.01,875,J6w,Takamisakari,Azumazeki,Aomori,1976-05-12,188,141,J10w,9,6
2012.01,864,J7e,Bushuyama,Fujishima,Aomori,1976-05-21,190,169,J2e,5,10
2012.01,9079,J7w,Kotoyuki,Sadogatake,Kagawa,1991-04-02,175,149.5,J8w,8,7
2012.01,10,J8e,Tochinonada,Kasugano,Ishikawa,1974-02-26,186,157.5,J9e,8,7
2012.01,795,J8w,Tamaasuka,Kataonami,Aichi,1983-01-26,185,148.5,J4e,5,10
2012.01,11729,J9e,Kimikaze,Oguruma,Tokyo,1986-09-23,183,131,J6w,6,7
2012.01,5988,J9w,Oiwato,Hakkaku,Yamagata,1981-05-18,178,136,J12w,8,7
2012.01,6531,J10e,Asahisho,Oshima,Chiba,1989-07-21,172,128,J13e,8,7
2012.01,6042,J10w,Masuraumi,Onomatsu,Aichi,1988-10-15,173,142.5,J7e,5,4
2012.01,1127,J11e,Hokutokuni,Hakkaku,Yamagata,1985-06-07,178,151,J7w,5,10
2012.01,1405,J11w,Amuru,Onomatsu,Russia,1983-08-25,191.5,125.5,Ms2w,6,1
2012.01,6552,J12e,Sotairyu,Tokitsukaze,Fukushima,1982-07-26,179,117,J11e,7,8
2012.01,7121,J12w,Tokushinho,Kitanoumi,Mie,1984-05-13,192.5,197,Ms1e,4,3
2012.01,1241,J13e,Kitaharima,Kitanoumi,Hyogo,1986-07-28,182,120,Ms2e,4,3
2012.01,11934,J13w,Chiyotairyu,Kokonoe,Tokyo,1988-11-14,180,160,Ms3e,4,3
2012.01,8904,J14e,Homarefuji,Isegahama,Aomori,1985-05-06,180,157.5,Ms3w,4,3
2012.01,2835,J14w,Shironoryu,Sakaigawa,Mongolia,1983-09-07,180,118,J8e,4,11
2012.01,5985,Ms1e,Satoyama,Onoe,Kagoshima,1981-05-31,176,119,J13w,6,9
2012.01,6928,Ms1w,Chiyootori,Kokonoe,Kagoshima,1992-10-11,177,160.5,Ms7w,6,1
2012.01,2832,Ms2e,Arawashi,Hanakago,Mongolia,1986-08-21,184,119.5,Ms6e,5,2
2012.01,6600,Ms2w,Tochihiryu,Kasugano,Shizuoka,1987-04-23,178,147.5,Ms5e,4,3
2012.01,7109,Ms3e,Chiyoarashi,Kokonoe,Chiba,1991-07-12,172,138,J10e,4,6
2012.01,1137,Ms3w,Sensho,Shikihide,Mongolia,1983-10-14,181,129.5,Ms14w,6,1
2012.01,2858,Ms4e,Tochitsubasa,Kasugano,Aomori,1980-10-03,168,97,Ms9e,5,2
2012.01,6622,Ms4w,Kitazono,Oguruma,Nagasaki,1983-04-28,184,174,Ms1w,3,4
2012.01,489,Ms5e,Chokozan,Shikihide,Fukuoka,1980-10-23,175,120,Ms16e,6,1
2012.01,8900,Ms5w,Akiseyama,Kitanoumi,Aichi,1985-07-18,182,169,Ms11e,5,2
2012.01,300,Ms6e,Dairaido,Takadagawa,Fukuoka,1980-04-17,177,153,Ms11w,5,2
2012.01,6594,Ms6w,Ryuden,Takadagawa,Yamanashi,1990-11-10,192.5,136,Ms8w,4,3
2012.01,9064,Ms7e,Tochiyashiki,Kasugano,Ishikawa,1989-07-07,178.5,143.5,Ms9w,4,3
2012.01,1058,Ms7w,Wakanoshima,Hanaregoma,Kagoshima,1984-09-28,180.5,127.5,Ms10w,4,3
2012.01,2879,Ms8e,Sadanoumi,Sakaigawa,Kumamoto,1987-05-11,183,125,J9w,0,0
2012.01,1054,Ms8w,Hitenryu,Tatsunami,Fukuoka,1984-06-16,188,159.5,Ms5w,3,4
2012.01,8154,Ms9e,Higonojo,Kitanoumi,Kumamoto,1984-11-05,178.5,127,Ms25w,6,1
2012.01,11723,Ms9w,Azumaryu,Tamanoi,Mongolia,1987-05-12,191,136,Ms12e,4,3
2012.01,11850,Ms10e,Chiyozakura,Kokonoe,Tokyo,1987-09-17,185,146.5,J14w,2,8
2012.01,6512,Ms10w,Hishofuji,Nakamura,Hyogo,1989-07-14,193,199,Ms7e,3,4
2012.01,6612,Ms11e,Aozora,Tagonoura,Osaka,1983-08-26,180,125,Ms15w,4,3
2012.01,6476,Ms11w,Hakiai,Kitanoumi,Ehime,1982-05-11,174,123.5,Ms19e,5,2
2012.01,69,Ms12e,Towanoyama,Dewanoumi,Tokyo,1977-07-10,190.5,173.3,Ms4e,2,5
2012.01,2929,Ms12w,Kagamio,Kagamiyama,Mongolia,1988-02-09,181,125.5,Ms17e,4,3
2012.01,8903,Ms13e,Kei,Onomatsu,Kagoshima,1990-03-10,175.5,113,Ms22w,5,2
2012.01,6538,Ms13w,Shosei,Sakaigawa,Kagoshima,1986-05-27,166,123,Ms35w,6,1
2012.01,1190,Ms14e,Kaonishiki,Azumazeki,Akita,1978-09-14,178,161.5,Ms4w,1,6
2012.01,11821,Ms14w,Ryuonami,Tatsunami,Mongolia,1987-09-12,187,123,Ms19w,4,3
2012.01,11971,Ms15e,Sakumayama,Kitanoumi,Tokyo,1988-08-07,185,144.5,Sd21e,7,0
2012.01,8901,Ms15w,Yamashita,Kitanoumi,Kagoshima,1985-09-25,172.4,168,Ms20w,4,3
2012.01,1097,Ms16e,Oniarashi,Asahiyama,Mongolia,1982-06-13,184,122.5,Ms8e,2,5
2012.01,1204,Ms16w,Kakizoe,Fujishima,Oita,1978-08-12,176,134.5,Ms6w,1,6
2012.01,11724,Ms17e,Takanoiwa,Takanohana,Mongolia,1990-02-26,181,140,Ms42e,6,1
2012.01,6464,Ms17w,Suzaku,Hakkaku,Fukushima,1982-06-16,182,95,Ms27w,5,2
2012.01,5999,Ms18e,Karatsuumi,Tamanoi,Saga,1988-08-03,182,183,Ms12w,3,4
2012.01,1031,Ms18w,Ryuo,Miyagino,Mongolia,1983-03-11,176,156.5,Ms23e,4,3
2012.01,2928,Ms19e,Fujimoto,Onomatsu,Fukuoka,1986-06-09,179,133.5,Ms13w,3,4
2012.01,11824,Ms19w,Saishin,Chiganoura,Ishikawa,1991-11-12,179.2,141.5,Ms29e,5,2
2012.01,874,Ms20e,Hamanishiki,Oitekaze,Kumamoto,1976-11-23,179,122.5,Ms10e,2,5
2012.01,6013,Ms20w,Dewahayate,Dewanoumi,Aichi,1989-01-31,177,119,Ms24w,4,3
2012.01,147,Ms21e,Toyonokuni,Tokitsukaze,Niigata,1979-05-23,180.5,150,Ms14e,3,4
2012.01,365,Ms21w,Kotokuni,Sadogatake,Okayama,1978-07-10,186,154.1,Ms29w,5,2
2012.01,252,Ms22e,Rikiryu,Hanakago,Kumamoto,1980-03-31,190,152,Ms26e,4,3
2012.01,7125,Ms22w,Terashita,Onomatsu,Ishikawa,1984-05-05,188,136.5,Ms15e,3,4
2012.01,2909,Ms23e,Sakigake,Hanaregoma,Mongolia,1986-04-05,180,142.6,Ms34w,5,2
2012.01,6595,Ms23w,Okinofuji,Hakkaku,Shimane,1988-01-26,181,162,Ms53w,6,1
2012.01,7240,Ms24e,Chiyomaru,Kokonoe,Kagoshima,1991-04-17,178,162.5,Ms13e,2,5
2012.01,6483,Ms24w,Maeta,Hanaregoma,Yamagata,1982-06-24,180,207.5,Ms18w,3,4
2012.01,335,Ms25e,Shoketsu,Hanaregoma,Shizuoka,1976-09-05,184,158,Ms30w,4,3
2012.01,7111,Ms25w,Matsumoto,Shikoroyama,Saitama,1992-03-10,178,125,Ms32e,4,3
2012.01,11732,Ms26e,Takageppo,Takanohana,Saitama,1990-04-19,173,126,Ms17w,2,4
2012.01,7119,Ms26w,Tochinohama,Kasugano,Kochi,1989-01-29,186,156.5,Ms37e,5,2
2012.01,9077,Ms27e,Kamei,Kitanoumi,Kagawa,1985-04-30,193,135,Ms32w,4,3
