basho,id,rank,rikishi,heya,shusshin,birth_date,height,weight,prev,prev_w,prev_l
2009.01,1123,Y1e,Hakuho,Miyagino,Mongolia,1985-03-11,192.6,153.2,Y1e,13,2
2009.01,878,Y1w,Asashoryu,Takasago,Mongolia,1980-09-27,184,148,Y1w,0,0
2009.01,876,O1e,Kotomitsuki,Sadogatake,Aichi,1976-04-11,182,156,O1e,9,6
2009.01,8,O1w,Chiyotaikai,Kokonoe,Oita,1976-04-29,181,155.5,O2e,8,7
2009.01,2830,O2e,Kotooshu,Sadogatake,Bulgaria,1983-02-19,203,151,O2w,8,7
2009.01,7,O2w,Kaio,Tomozuna,Fukuoka,1972-07-24,184,171.3,O1w,1,3
2009.01,1111,O3e,Harumafuji,Isegahama,Mongolia,1984-04-14,185,126,S1e,13,2
2009.01,6432,S1e,Baruto,Onoe,Estonia,1984-11-05,198.5,172.8,S1w,9,6
2009.01,89,S1w,Aminishiki,Isegahama,Aomori,1978-10-03,185,136,K1w,8,7
2009.01,1235,K1e,Kisenosato,Naruto,Ibaraki,1986-07-03,187,167,M4e,11,4
2009.01,1227,K1w,Toyonoshima,Tokitsukaze,Kochi,1983-06-29,170.5,144.2,M1e,9,6
2009.01,1226,M1e,Kotoshogiku,Sadogatake,Fukuoka,1984-01-30,179.5,158.7,M3e,9,6
2009.01,41,M1w,Kyokutenho,Oshima,Mongolia,1974-09-13,191.6,156.4,M6w,10,5
2009.01,842,M2e,Miyabiyama,Musashigawa,Ibaraki,1977-07-28,188,180.1,M7e,10,5
2009.01,5967,M2w,Yoshikaze,Oguruma,Oita,1982-03-19,178,128.8,M12e,11,4
2009.01,1284,M3e,Takekaze,Oguruma,Akita,1979-06-21,171,142,M8e,9,6
2009.01,6468,M3w,Goeido,Sakaigawa,Osaka,1986-04-06,182,140.3,K1e,5,10
2009.01,39,M4e,Wakanosato,Naruto,Aomori,1976-07-10,185,156.3,M2w,6,9
2009.01,1187,M4w,Kokkai,Oitekaze,Georgia,1981-03-10,189,152.2,M11e,9,6
2009.01,2834,M5e,Futeno,Dewanoumi,Kumamoto,1980-08-28,180,154,M1w,5,10
2009.01,875,M5w,Takamisakari,Azumazeki,Aomori,1976-05-12,188,138,M14e,10,5
2009.01,864,M6e,Bushuyama,Musashigawa,Aomori,1976-05-21,190,161,M10e,8,7
2009.01,6771,M6w,Aran,Mihogaseki,Russia,1984-01-31,185,139.2,M10w,8,7
2009.01,135,M7e,Hokutoriki,Hakkaku,Tochigi,1977-10-31,181.5,150,M3w,5,10
2009.01,31,M7w,Dejima,Musashigawa,Ishikawa,1974-03-21,180,156.7,M5w,6,9
2009.01,1009,M8e,Asasekiryu,Takasago,Mongolia,1981-08-07,185,140.5,M5e,5,10
2009.01,1219,M8w,Kakuryu,Izutsu,Mongolia,1985-08-10,187,134.8,M6e,5,6
