basho,id,rank,rikishi,heya,shusshin,birth_date,height,weight,prev,prev_w,prev_l
2000.01,4,Y1e,Musashimaru,Musashigawa,U.S.A.,1971-05-02,191.6,224,Y1e,12,3
2000.01,2,Y1w,Takanohana,Futagoyama,Tokyo,1972-08-12,185.3,158,Y2w,11,4
2000.01,3,Y2e,Wakanohana,Futagoyama,Tokyo,1971-01-20,178.5,124.5,Y1w,0,0
2000.01,1,Y2w,Akebono,Azumazeki,U.S.A.,1969-05-08,203.5,232,Y2e,0,0
2000.01,31,O1e,Dejima,Musashigawa,Ishikawa,1974-03-21,180,153,O1w,10,5
2000.01,8,O1w,Chiyotaikai,Kokonoe,Oita,1976-04-29,181.5,158,O1e,9,6
2000.01,7,S1e,Kaio,Tomozuna,Fukuoka,1972-07-24,184.5,165.5,S1e,11,4
2000.01,19,S1w,Tochiazuma,Tamanoi,Tokyo,1976-11-09,180.4,145,S1w,10,5
2000.01,6,S2e,Musoyama,Musashigawa,Ibaraki,1972-02-14,184,167,K1e,10,5
2000.01,5,S2w,Takanonami,Futagoyama,Aomori,1971-10-27,196.2,168.5,O2e,6,9
2000.01,13,K1e,Tosanoumi,Isenoumi,Kochi,1972-02-16,186,162,K2w,10,5
2000.01,842,K1w,Miyabiyama,Musashigawa,Ibaraki,1977-07-28,187.7,171,M1w,8,7
2000.01,38,M1e,Toki,Takasago,Chiba,1974-07-04,189,167,M5w,9,6
2000.01,29,M1w,Kotoryu,Sadogatake,Hyogo,1972-03-02,183,146,M6w,9,6
2000.01,14,M2e,Kotonowaka,Sadogatake,Yamagata,1968-05-15,190.5,177,M5e,8,7
2000.01,34,M2w,Asanowaka,Wakamatsu,Aichi,1969-12-11,176,139,M9e,9,6
2000.01,12,M3e,Kotonishiki,Sadogatake,Gunma,1968-06-08,175.5,134.5,M2w,7,8
2000.01,26,M3w,Higonoumi,Mihogaseki,Kumamoto,1969-09-23,183,148,M7w,8,7
2000.01,10,M4e,Tochinonada,Kasugano,Ishikawa,1974-02-26,188,164,M12w,10,5
2000.01,9,M4w,Akinoshima,Futagoyama,Hiroshima,1967-03-16,175,154.5,K1w,3,12
2000.01,25,M5e,Hamanoshima,Mihogaseki,Kumamoto,1970-03-21,178,119.5,M10e,8,7
2000.01,20,M5w,Shikishima,Tatsutagawa,Chiba,1970-12-15,183.5,184.5,M10w,8,7
2000.01,35,M6e,Kyokushuzan,Oshima,Mongolia,1973-03-08,181.5,137,M3e,5,10
2000.01,11,M6w,Aogiyama,Tokitsukaze,Shiga,1970-02-18,181.5,153,M4w,6,9
2000.01,33,M7e,Terao,Izutsu,Kagoshima,1963-02-02,185,111.5,M4e,5,10
2000.01,87,M7w,Wakanoyama,Musashigawa,Wakayama,1972-05-12,177,158,M6e,7,8
2000.01,17,M8e,Tamakasuga,Kataonami,Ehime,1972-01-07,183,150,M1e,3,12
2000.01,36,M8w,Asanosho,Wakamatsu,Kanagawa,1969-12-23,184.5,144.5,M3w,4,11
2000.01,40,M9e,Kaiho,Hakkaku,Aomori,1973-04-17,178,122,M11e,8,7
2000.01,16,M9w,Minatofuji,Minato,Gunma,1968-07-06,187,169.5,M7e,7,8
2000.01,18,M10e,Takatoriki,Futagoyama,Hyogo,1967-09-28,180.5,152,M2e,2,13
2000.01,63,M10w,Otsukasa,Irumagawa,Hyogo,1971-02-18,176,150,M11w,8,7
2000.01,47,M11e,Chiyotenzan,Kokonoe,Osaka,1976-02-06,183.7,146,M8w,7,8
2000.01,50,M11w,Tokitsuumi,Tokitsukaze,Nagasaki,1973-11-08,184,127,M12e,8,7
2000.01,71,M12e,Takanowaka,Naruto,Nagasaki,1976-04-02,190,131,M14w,9,6
2000.01,54,M12w,Ohinode,Tatsunami,Hyogo,1970-01-19,184,151.5,M13e,8,7
2000.01,41,M13e,Kyokutenho,Oshima,Mongolia,1974-09-13,191,141.5,M8e,6,9
2000.01,58,M13w,Oikari,Isenoumi,Kyoto,1972-06-16,176.5,130,J2e,11,4
2000.01,43,M14e,Kinkaiyama,Dewanoumi,Nagasaki,1976-01-07,183.6,149.5,J1e,10,5
2000.01,39,M14w,Wakanosato,Naruto,Aomori,1976-07-10,185,155.5,M9w,5,7
2000.01,129,J1e,Hayateumi,Oitekaze,Aomori,1975-07-05,182,126.5,J1w,8,7
2000.01,51,J1w,Daizen,Nishonoseki,Osaka,1964-12-14,188.5,157.5,M13w,7,8
2000.01,15,J2e,Oginishiki,Dewanoumi,Chiba,1971-07-08,186,139.5,J5e,11,4
2000.01,64,J2w,Yotsukasa,Irumagawa,Mie,1973-09-25,177,153,J7e,9,6
2000.01,27,J3e,Wakanojo,Magaki,Okinawa,1973-04-13,191,155,J5w,8,7
2000.01,76,J3w,Hoshitango,Michinoku,Argentina,1965-09-05,185,167,J8w,9,6
2000.01,28,J4e,Mitoizumi,Takasago,Ibaraki,1962-09-02,192.3,179,J6w,8,7
2000.01,46,J4w,Dewaarashi,Dewanoumi,Nagasaki,1970-07-28,184.6,186,J3w,7,8
2000.01,62,J5e,Daishi,Oshiogawa,Ibaraki,1968-08-23,181.5,170,J9e,8,7
2000.01,30,J5w,Kitakachidoki,Isenoumi,Hokkaido,1966-01-01,182.5,142.5,J2w,5,10
2000.01,59,J6e,Susanoumi,Kitanoumi,Aichi,1972-08-30,183.2,228.5,J4e,6,9
2000.01,32,J6w,Akinoshu,Izutsu,Hiroshima,1969-01-17,179,121,J3e,5,10
2000.01,876,J7e,Kotomitsuki,Sadogatake,Aichi,1976-04-11,180,150,J12e,9,6
2000.01,65,J7w,Dewataira,Dewanoumi,Tokyo,1974-09-13,178,152,J4w,5,10
2000.01,22,J8e,Gojoro,Magaki,Miyagi,1973-08-18,190,141,J8e,0,0
2000.01,96,J8w,Jumonji,Tatsutagawa,Aomori,1976-06-09,186,148.5,J12w,9,6
2000.01,52,J9e,Tomonohana,Tatsunami,Kumamoto,1964-06-23,175,108,J6e,7,8
2000.01,138,J9w,Sentoryu,Tomozuna,U.S.A.,1969-07-16,176,137,J13w,9,6
2000.01,24,J10e,Ganyu,Kitanoumi,Hyogo,1970-08-06,185,172.5,M14e,0,10
2000.01,152,J10w,Tamanonada,Kataonami,Fukushima,1977-09-15,186.5,143,J7w,6,9
2000.01,97,J11e,Tochinohana,Kasugano,Iwate,1973-02-28,185,144,J9w,7,8
2000.01,145,J11w,Kobo,Miyagino,Kagoshima,1973-08-18,182.5,121.5,J10e,7,8
2000.01,875,J12e,Takamisakari,Azumazeki,Aomori,1976-05-12,187,138,Ms2w,6,1
2000.01,70,J12w,Kitazakura,Kitanoumi,Hiroshima,1971-12-15,188,162.5,J11e,7,8
2000.01,81,J13e,Wakakosho,Matsugane,Hyogo,1975-03-04,184.5,170,Ms1e,4,3
2000.01,89,J13w,Aminishiki,Ajigawa,Aomori,1978-10-03,183.2,108,Ms1w,4,3
2000.01,79,Ms1e,Kotoiwakuni,Sadogatake,Yamaguchi,1972-10-21,188,162.5,Ms5e,6,1
2000.01,88,Ms1w,Tamarikido,Kataonami,Tokyo,1974-04-19,183.5,133,J13e,6,9
2000.01,116,Ms2e,Wakatsutomu,Matsugane,Chiba,1973-02-13,171,148,Ms6w,5,2
2000.01,312,Ms2w,Hokutomine,Hakkaku,Kyoto,1979-01-13,177,113,Ms39w,7,0
2000.01,72,Ms3e,Tochisakae,Kasugano,Saga,1974-06-27,184.5,148.5,Ms7w,5,2
2000.01,118,Ms3w,Midorifuji,Onomatsu,Yamanashi,1974-08-02,185,151.8,Ms9w,5,2
2000.01,205,Ms4e,Goto,Futagoyama,Saitama,1976-07-04,185.7,167.5,Ms7e,4,3
2000.01,124,Ms4w,Saigo,Nakamura,Saitama,1975-09-07,184.6,166.5,Ms11w,5,2
2000.01,73,Ms5e,Kanechika,Kitanoumi,Kanagawa,1969-11-12,181.5,169,Ms12w,5,2
2000.01,78,Ms5w,Toyozakura,Tatsutagawa,Hiroshima,1974-03-12,182,131,Ms2e,3,4
2000.01,149,Ms6e,Juzan,Oshiogawa,Ibaraki,1975-04-08,179.5,162,Ms10e,4,3
2000.01,67,Ms6w,Tochinofuji,Kasugano,Fukuoka,1969-11-15,180,184.5,Ms10w,4,3
2000.01,86,Ms7e,Futatsukuba,Tatsunami,Ibaraki,1974-10-07,185,137,Ms3e,3,4
2000.01,105,Ms7w,Buyuzan,Musashigawa,Aichi,1974-07-29,181.5,150,Ms3w,3,4
2000.01,199,Ms8e,Kuniazuma,Tamanoi,Brazil,1975-09-04,192,173,Ms21w,6,1
2000.01,69,Ms8w,Towanoyama,Dewanoumi,Tokyo,1977-07-10,191.5,168,J11w,3,12
2000.01,167,Ms9e,Tamanokuni,Kataonami,Fukushima,1975-12-28,192.5,163.5,Ms16e,5,2
2000.01,84,Ms9w,Tomikaze,Oguruma,Aichi,1972-01-27,179,138.5,Ms4w,3,4
2000.01,163,Ms10e,Senshuyama,Takasago,Osaka,1975-09-01,177,118,Ms17e,5,2
2000.01,130,Ms10w,Tanaka,Tomozuna,Tokyo,1975-10-24,176.2,141,Ms14e,4,3
2000.01,874,Ms11e,Takahama,Oitekaze,Kumamoto,1976-11-23,179,121,Ms14w,4,3
2000.01,109,Ms11w,Arauma,Isenoumi,Nara,1972-10-12,189,153,Ms5w,3,4
2000.01,197,Ms12e,Maenowaka,Takadagawa,Okayama,1973-05-06,188,115,Sd9e,7,0
2000.01,878,Ms12w,Asashoryu,Wakamatsu,Mongolia,1980-09-27,181.8,106,Ms27e,6,1
2000.01,175,Ms13e,Ushiomaru,Azumazeki,Shizuoka,1978-05-11,175.5,162.5,Ms17w,4,3
2000.01,106,Ms13w,Torafusuyama,Mihogaseki,Wakayama,1971-06-06,188.5,137.5,Ms8w,3,4
2000.01,104,Ms14e,Wakaazuma,Tamanoi,Brazil,1976-04-21,175,116.5,Ms18e,4,3
2000.01,785,Ms14w,Furuichi,Onomatsu,Osaka,1976-02-21,173.5,95.5,Ms19e,4,3
2000.01,380,Ms15e,Hisatsuryu,Izutsu,Kagoshima,1977-06-19,180.5,134,Ms23e,5,2
2000.01,147,Ms15w,Minami,Tokitsukaze,Niigata,1979-05-23,182,140,Ms21e,4,3
2000.01,102,Ms16e,Asahibenten,Oshima,Osaka,1975-05-21,182.5,160,Ms26e,5,2
2000.01,75,Ms16w,Ogura,Asahiyama,Osaka,1973-08-30,195,155,Ms22w,4,3
2000.01,120,Ms17e,Aranonami,Musashigawa,Tokyo,1969-05-13,184,145.5,Ms12e,3,4
2000.01,74,Ms17w,Kotokanyu,Sadogatake,Hokkaido,1966-02-02,183,125,Ms23w,4,3
2000.01,77,Ms18e,Yutakafuji,Tokitsukaze,Niigata,1970-04-14,186,169.5,Ms24w,4,3
2000.01,256,Ms18w,Kotohino,Sadogatake,Tokyo,1978-01-16,177.5,132,Ms31e,5,2
2000.01,158,Ms19e,Natsubori,Futagoyama,Ibaraki,1976-07-12,191.5,141.5,Ms25w,4,3
2000.01,113,Ms19w,Asofuji,Ajigawa,Aomori,1976-01-17,178,108,Ms31w,5,2
2000.01,99,Ms20e,Komahikari,Hanaregoma,Saitama,1976-07-13,176,124,Ms13e,3,4
2000.01,92,Ms20w,Haruyama,Matsugane,Aichi,1976-08-02,188,167,Ms6e,2,5
2000.01,131,Ms21e,Karatsunada,Oshiogawa,Saga,1973-07-03,183,179,Ms15e,3,4
2000.01,180,Ms21w,Wakainami,Tatsunami,Tokyo,1975-12-29,181,124,Ms36w,5,2
2000.01,315,Ms22e,Nadatsukasa,Irumagawa,Saitama,1979-08-25,183.5,136,Ms28e,4,3
2000.01,132,Ms22w,Kotonomine,Sadogatake,Fukuoka,1972-10-28,178,121,Ms15w,3,4
2000.01,66,Ms23e,Wakahayato,Miyagino,Kagoshima,1971-01-03,184,150,Ms8e,2,5
2000.01,95,Ms23w,Wakanomiya,Magaki,Tochigi,1974-11-08,177.6,154.5,Ms30e,4,3
