basho,id,rank,rikishi,heya,shusshin,birth_date,height,weight,prev,prev_w,prev_l
1988.01,1354,Y1e,Chiyonofuji,Kokonoe,Hokkaido,1955-06-01,183,124,Y2eHD,15,0
1988.01,1339,Y1w,Hokutoumi,Kokonoe,Hokkaido,1963-06-22,181,140,Y1e,13,2
1988.01,4136,Y2eHD,Futahaguro,Tatsunami,Mie,1963-08-12,199,151,Y2wHD,13,2
1988.01,1350,Y2wHD,Onokuni,Hanaregoma,Hokkaido,1962-10-09,189,199,Y1w,8,7
1988.01,1342,O1e,Asahifuji,Oshima,Aomori,1960-07-06,188,135.5,O1w,11,4
1988.01,1363,O1w,Hokutenyu,Mihogaseki,Hokkaido,1960-08-08,183,149,O2wHD,9,6
1988.01,1287,O2eHD,Konishiki,Takasago,U.S.A.,1963-12-31,186,230,O1e,8,7
1988.01,1379,O2wHD,Asashio,Takasago,Kochi,1955-12-09,183,181.5,O2eHD,8,7
1988.01,1332,S1e,Sakahoko,Izutsu,Kagoshima,1961-06-18,181,130,S1w,8,7
1988.01,1337,S1w,Tochitsukasa,Kasugano,Aichi,1958-04-25,180,142,M6e,10,5
1988.01,1330,K1e,Ryogoku,Dewanoumi,Nagasaki,1962-07-30,183,164,M8e,10,5
1988.01,4099,K1w,Kirinji,Nishonoseki,Chiba,1953-03-09,182,146.5,M7e,9,6
1988.01,1367,M1e,Fujinoshin,Kokonoe,Chiba,1960-11-06,180,131,M6w,8,7
1988.01,23,M1w,Tochinowaka,Kasugano,Wakayama,1962-05-22,190,134,S1e,5,10
1988.01,1338,M2e,Ozutsu,Taiho,Mie,1956-04-18,183,148.5,M8w,8,7
1988.01,1335,M2w,Takanofuji,Kokonoe,Tokyo,1963-10-09,191,135,M9e,8,7
1988.01,33,M3e,Terao,Izutsu,Kagoshima,1963-02-02,185,111,M9w,8,7
1988.01,1352,M3w,Tagaryu,Kagamiyama,Ibaraki,1958-02-15,177,137.5,M10e,8,7
1988.01,1310,M4e,Kirinishiki,Kagamiyama,Gunma,1962-08-31,186,160,M3w,7,8
1988.01,1376,M4w,Hananoumi,Hanaregoma,Akita,1960-12-06,181,134.5,M2w,6,9
1988.01,1361,M5e,Daitetsu,Nishonoseki,Fukui,1956-10-29,193,126,M10w,8,7
1988.01,1359,M5w,Koboyama,Kumagatani,Miyagi,1957-08-15,179,147,M4e,6,9
1988.01,1333,M6e,Sasshunada,Izutsu,Kagoshima,1957-06-07,182,150,M5w,7,8
1988.01,1372,M6w,Maenoshin,Takadagawa,Fukuoka,1961-04-17,184,141,M4w,6,9
1988.01,1292,M7e,Kotogaume,Sadogatake,Toyama,1963-10-05,178.5,160,M3e,5,10
1988.01,4116,M7w,Dewanohana,Dewanoumi,Aomori,1951-05-13,185.5,125,M5e,6,9
1988.01,1315,M8e,Enazakura,Oshiogawa,Gifu,1960-07-29,180,119,M13e,9,6
1988.01,1345,M8w,Tamaryu,Kataonami,Nagasaki,1954-07-22,191,122,K1w,3,12
1988.01,4126,M9e,Sadanoumi,Dewanoumi,Osaka,1956-07-19,182,132,M11e,8,7
1988.01,1301,M9w,Kirishima,Izutsu,Kagoshima,1959-04-03,186.5,119,M7w,7,8
1988.01,1347,M10e,Itai,Onaruto,Oita,1956-03-21,176,135,M2e,4,11
1988.01,1369,M10w,Toryu,Mihogaseki,Hyogo,1958-12-19,180,149,M11w,8,7
1988.01,1348,M11e,Jingaku,Izutsu,Kagoshima,1959-12-24,188,142,K1e,2,13
1988.01,37,M11w,Kotoinazuma,Sadogatake,Gunma,1962-04-26,180,127.5,M12e,8,7
1988.01,4141,M12e,Nankairyu,Takasago,Western Samoa,1965-02-22,188,126,M12w,8,7
1988.01,1302,M12w,Takamisugi,Futagoyama,Kanagawa,1961-03-01,179,161,M1e,3,12
