basho,id,rank,rikishi,heya,shusshin,birth_date,height,weight,prev,prev_w,prev_l
2006.01,878,Y1e,Asashoryu,Takasago,Mongolia,1980-09-27,184,142.6,Y1e,14,1
2006.01,8,O1e,Chiyotaikai,Kokonoe,Oita,1976-04-29,181.5,155,O1w,11,4
2006.01,7,O1w,Kaio,Tomozuna,Fukuoka,1972-07-24,184.5,173.5,O2w,10,5
2006.01,19,O2e,Tochiazuma,Tamanoi,Tokyo,1976-11-09,180,148.5,O1e,2,2
2006.01,2830,O2w,Kotooshu,Sadogatake,Bulgaria,1983-02-19,202,140,S1e,11,4
2006.01,876,S1e,Kotomitsuki,Sadogatake,Aichi,1976-04-11,182,154,S1w,8,7
2006.01,1123,S1w,Hakuho,Miyagino,Mongolia,1985-03-11,191.5,141,K1w,9,6
2006.01,41,K1e,Kyokutenho,Oshima,Mongolia,1974-09-13,191,150,K1e,8,7
2006.01,152,K1w,Tamanoshima,Kataonami,Fukushima,1977-09-15,188,156,M1e,8,7
2006.01,842,M1e,Miyabiyama,Musashigawa,Ibaraki,1977-07-28,188,178,M4e,10,5
2006.01,2818,M1w,Tokitenku,Tokitsukaze,Mongolia,1979-09-10,186.5,134,M7w,10,5
2006.01,1421,M2e,Roho,Otake,Russia,1980-03-09,194,146,M8e,10,5
2006.01,1187,M2w,Kokkai,Oitekaze,Georgia,1981-03-10,189.5,156,M6w,9,6
2006.01,1284,M3e,Takekaze,Oguruma,Akita,1979-06-21,171,139,M9w,9,6
2006.01,97,M3w,Tochinohana,Kasugano,Iwate,1973-02-28,184,141,M14e,11,4
2006.01,1402,M4e,Hakurozan,Hatachiyama,Russia,1982-02-06,189.5,138,M13e,10,5
2006.01,1009,M4w,Asasekiryu,Takasago,Mongolia,1981-08-07,185,140,M12w,9,6
2006.01,1087,M5e,Iwakiyama,Sakaigawa,Aomori,1976-03-02,185,174,M4w,7,8
2006.01,107,M5w,Kasuganishiki,Kasugano,Chiba,1975-08-22,187,148,M15e,9,6
2006.01,1111,M6e,Ama,Ajigawa,Mongolia,1984-04-14,186,112.8,M5w,7,8
2006.01,31,M6w,Dejima,Musashigawa,Ishikawa,1974-03-21,180.5,160,M3w,5,10
2006.01,89,M7e,Aminishiki,Ajigawa,Aomori,1978-10-03,184,131,M6e,7,8
2006.01,1204,M7w,Kakizoe,Musashigawa,Oita,1978-08-12,177,137,M2w,4,11
2006.01,96,M8e,Jumonji,Michinoku,Aomori,1976-06-09,185,156,M17e,9,6
2006.01,2834,M8w,Futeno,Dewanoumi,Kumamoto,1980-08-28,180.5,155,M2e,3,8
2006.01,1235,M9e,Kisenosato,Naruto,Ibaraki,1986-07-03,187.5,155,M5e,5,10
2006.01,1227,M9w,Toyonoshima,Tokitsukaze,Kochi,1983-06-29,171,123.6,M8w,7,8
2006.01,875,M10e,Takamisakari,Azumazeki,Aomori,1976-05-12,188,134.1,M9e,7,8
2006.01,1226,M10w,Kotoshogiku,Sadogatake,Fukuoka,1984-01-30,179,147,M7e,6,9
2006.01,135,M11e,Hokutoriki,Hakkaku,Tochigi,1977-10-31,182.5,153,M1w,2,13
2006.01,35,M11w,Kyokushuzan,Oshima,Mongolia,1973-03-08,182,143,M10e,7,8
2006.01,865,M12e,Kasugao,Kasugayama,Korea,1977-07-01,183,151.5,M16w,8,7
2006.01,78,M12w,Toyozakura,Michinoku,Hiroshima,1974-03-12,183,140,J1w,10,5
2006.01,72,M13e,Tochisakae,Kasugano,Saga,1974-06-27,183,152,J1e,9,6
2006.01,5967,M13w,Yoshikaze,Oguruma,Oita,1982-03-19,176.5,129,J5w,10,5
2006.01,13,M14e,Tosanoumi,Isenoumi,Kochi,1972-02-16,186.5,155,M11e,5,10
2006.01,50,M14w,Tokitsuumi,Tokitsukaze,Nagasaki,1973-11-08,183,129,J3w,9,6
2006.01,99,M15e,Shunketsu,Hanaregoma,Saitama,1976-07-13,177,121,M13w,6,9
2006.01,287,M15w,Wakatoba,Oguruma,Tokyo,1977-06-15,175.5,138,M12e,5,10
2006.01,39,M16e,Wakanosato,Naruto,Aomori,1976-07-10,185,153,M3e,0,0
2006.01,1243,M16w,Katayama,Onomatsu,Shizuoka,1979-09-06,179,136,M16e,7,8
2006.01,70,M17e,Kitazakura,Kitanoumi,Hiroshima,1971-12-15,189.5,167,J2w,8,7
2006.01,10,J1e,Tochinonada,Kasugano,Ishikawa,1974-02-26,187.5,165,M17w,7,8
2006.01,784,J1w,Daishodai,Oitekaze,Tokyo,1976-02-25,176.5,157,J3e,8,7
2006.01,300,J2e,Dairaido,Takadagawa,Fukuoka,1980-04-17,177,151,J7w,10,5
2006.01,175,J2w,Ushiomaru,Azumazeki,Shizuoka,1978-05-11,177,164.9,J7e,9,6
2006.01,38,J3e,Toki,Takasago,Chiba,1974-07-04,189,169,J13e,12,3
