basho,id,rank,rikishi,heya,shusshin,birth_date,height,weight,prev,prev_w,prev_l
2001.01,1,Y1e,Akebono,Azumazeki,U.S.A.,1969-05-08,203.5,230.5,Y1w,14,1
2001.01,4,Y1w,Musashimaru,Musashigawa,U.S.A.,1971-05-02,192,230.5,Y1e,11,4
2001.01,2,Y2e,Takanohana,Futagoyama,Tokyo,1972-08-12,186.5,152.5,Y2e,11,4
2001.01,7,O1e,Kaio,Tomozuna,Fukuoka,1972-07-24,185,175,O1e,11,4
2001.01,8,O1w,Chiyotaikai,Kokonoe,Oita,1976-04-29,181.5,158.5,O1w,9,6
2001.01,31,O2e,Dejima,Musashigawa,Ishikawa,1974-03-21,180.6,160,O2e,9,6
2001.01,842,O2w,Miyabiyama,Musashigawa,Ibaraki,1977-07-28,188,175.5,O2w,9,6
2001.01,6,O3w,Musoyama,Musashigawa,Ibaraki,1972-02-14,184,172,O3w,9,6
2001.01,39,S1e,Wakanosato,Naruto,Aomori,1976-07-10,184.5,151.5,K1w,9,6
2001.01,876,S1w,Kotomitsuki,Sadogatake,Aichi,1976-04-11,180.7,149.5,M9w,13,2
2001.01,71,K1e,Takanowaka,Naruto,Nagasaki,1976-04-02,190,137.5,M8w,11,4
2001.01,10,K1w,Tochinonada,Kasugano,Ishikawa,1974-02-26,187.5,163.5,M7w,10,5
2001.01,5,M1e,Takanonami,Futagoyama,Aomori,1971-10-27,196.6,169.5,S1e,6,9
2001.01,72,M1w,Tochisakae,Kasugano,Saga,1974-06-27,184,147,M6e,8,7
2001.01,14,M2e,Kotonowaka,Sadogatake,Yamagata,1968-05-15,190.5,173.5,M7e,8,7
2001.01,129,M2w,Hayateumi,Oitekaze,Aomori,1975-07-05,183.5,129,S1w,4,5
2001.01,87,M3e,Wakanoyama,Musashigawa,Wakayama,1972-05-12,177,163.5,M1w,6,9
2001.01,40,M3w,Kaiho,Hakkaku,Aomori,1973-04-17,178,125,M9e,8,7
2001.01,9,M4e,Akinoshima,Futagoyama,Hiroshima,1967-03-16,175,156.5,M1e,5,10
2001.01,19,M4w,Tochiazuma,Tamanoi,Tokyo,1976-11-09,180.5,147,M4w,0,0
2001.01,13,M5e,Tosanoumi,Isenoumi,Kochi,1972-02-16,186,160,M4e,7,8
2001.01,17,M5w,Tamakasuga,Kataonami,Ehime,1972-01-07,183,148,M10e,8,7
2001.01,97,M6e,Tochinohana,Kasugano,Iwate,1973-02-28,184.5,148,K1e,3,12
