basho,id,rank,rikishi,heya,shusshin,birth_date,height,weight,prev,prev_w,prev_l
1990.01,1354,Y1e,Chiyonofuji,Kokonoe,Hokkaido,1955-06-01,183,125,Y1e,13,2
1990.01,1339,Y1w,Hokutoumi,Kokonoe,Hokkaido,1963-06-22,181,144,Y1w,11,4
1990.01,1350,Y2eHD,Onokuni,Hanaregoma,Hokkaido,1962-10-09,189,210,Y2eHD,0,0
1990.01,1287,O1e,Konishiki,Takasago,U.S.A.,1963-12-31,187,225,O2wHD,14,1
1990.01,1342,O1w,Asahifuji,Oshima,Aomori,1960-07-06,188,142,O1w,8,7
1990.01,1363,O2wHD,Hokutenyu,Mihogaseki,Hokkaido,1960-08-08,183,144,O1e,5,10
1990.01,28,S1e,Mitoizumi,Takasago,Ibaraki,1962-09-02,194,173,K1e,11,4
1990.01,1292,S1w,Kotogaume,Sadogatake,Toyama,1963-10-05,180,183,S1e,8,7
1990.01,33,S2eHD,Terao,Izutsu,Kagoshima,1963-02-02,185,115,S1w,8,7
1990.01,1301,K1e,Kirishima,Izutsu,Kagoshima,1959-04-03,187,128,K1w,10,5
1990.01,1330,K1w,Ryogoku,Dewanoumi,Nagasaki,1962-07-30,185,172,M3e,10,5
1990.01,1296,M1e,Kasugafuji,Kasugayama,Kanagawa,1966-02-20,177,139,M6e,8,7
1990.01,1338,M1w,Ozutsu,Taiho,Mie,1956-04-18,183,142,M7e,8,7
1990.01,1337,M2e,Tochitsukasa,Kasugano,Aichi,1958-04-25,180,155,M7w,8,7
1990.01,1332,M2w,Sakahoko,Izutsu,Kagoshima,1961-06-18,181,129,M12e,10,5
1990.01,1347,M3e,Itai,Onaruto,Oita,1956-03-21,177,137,M9e,8,7
1990.01,37,M3w,Kotoinazuma,Sadogatake,Gunma,1962-04-26,180,128,M9w,8,7
1990.01,23,M4e,Tochinowaka,Kasugano,Wakayama,1962-05-22,190,148,M3w,7,8
1990.01,1334,M4w,Wakasegawa,Isegahama,Yamagata,1962-07-28,189,152,M10w,8,7
1990.01,1335,M5e,Takanofuji,Kokonoe,Tokyo,1963-10-09,192,137,M4w,7,8
1990.01,1315,M5w,Enazakura,Oshiogawa,Gifu,1960-07-29,180,134,M13e,9,6
1990.01,12,M6e,Kotonishiki,Sadogatake,Gunma,1968-06-08,176,132,M11e,8,7
1990.01,9,M6w,Akinoshima,Fujishima,Hiroshima,1967-03-16,176,133,M2w,5,10
1990.01,1317,M7e,Hananokuni,Hanaregoma,Osaka,1959-10-15,185,146,M1e,4,11
1990.01,1353,M7w,Daijuyama,Futagoyama,Niigata,1959-04-08,183,161,M4e,6,9
1990.01,1295,M8e,Kyokudozan,Oshima,Kagoshima,1964-10-14,181,100,M6w,7,8
1990.01,1303,M8w,Kotofuji,Sadogatake,Chiba,1964-10-28,191,144,M2e,4,11
1990.01,44,M9e,Kushimaumi,Dewanoumi,Wakayama,1965-08-06,187,171,M5e,6,9
1990.01,1348,M9w,Jingaku,Izutsu,Kagoshima,1959-12-24,189,147,M1w,3,12
1990.01,49,M10e,Misugisato,Futagoyama,Shiga,1962-07-01,185,141,M5w,6,9
1990.01,1368,M10w,Ryukozan,Dewanoumi,Osaka,1967-06-23,185.5,160.2,J2w,11,4
1990.01,60,M11e,Takanohama,Fujishima,Fukuoka,1965-09-22,188,184,M8e,6,9
1990.01,48,M11w,Oginohana,Dewanoumi,Chiba,1967-11-18,188.5,126,J6w,13,2
1990.01,1352,M12e,Tagaryu,Kagamiyama,Ibaraki,1958-02-15,178,139,J3w,10,5
1990.01,1302,M12w,Takamisugi,Futagoyama,Kanagawa,1961-03-01,179,147,M8w,5,10
1990.01,1310,M13e,Kirinishiki,Kagamiyama,Gunma,1962-08-31,187,164,J1e,8,7
1990.01,1356,M13w,Kinoarashi,Oshiogawa,Hokkaido,1961-07-09,183,161,M10e,6,9
1990.01,1359,M14e,Koboyama,Kumagatani,Miyagi,1957-08-15,179,142,M12w,7,8
1990.01,1285,J1e,Asahisato,Oshima,Osaka,1965-11-09,186,125,J4e,9,6
1990.01,30,J1w,Kitakachidoki,Isenoumi,Hokkaido,1966-01-01,183,134,M13w,6,9
1990.01,1331,J2e,Saganobori,Oshiogawa,Saga,1961-11-27,190,116,J4w,8,7
1990.01,1333,J2w,Sasshunada,Izutsu,Kagoshima,1957-06-07,183,149,J7e,8,7
1990.01,1314,J3e,Owakamatsu,Taiho,Saitama,1966-11-17,187,147,J8w,8,7
1990.01,1365,J3w,Hananofuji,Hanaregoma,Kumamoto,1958-11-21,187,107,J3e,7,8
1990.01,1297,J4e,Dairyu,Taiho,Osaka,1960-09-30,180,135,J11e,9,6
1990.01,1305,J4w,Kyokugozan,Oshima,Chiba,1968-09-18,180,157,M14w,4,11
1990.01,1311,J5e,Kototsubaki,Sadogatake,Okinawa,1960-12-06,188,123.9,J9e,8,7
1990.01,1358,J5w,Hoshiiwato,Michinoku,Kagoshima,1955-07-25,182,138,J10e,8,7
1990.01,1397,J6e,Ishinriki,Onaruto,Tokyo,1961-01-24,175,81,J1w,5,10
1990.01,2,J6w,Takahanada,Fujishima,Tokyo,1972-08-12,183,110,J10w,8,7
1990.01,1372,J7e,Maenoshin,Takadagawa,Fukuoka,1961-04-17,185,137,J2e,5,10
1990.01,1364,J7w,Masurao,Oshiogawa,Fukuoka,1961-06-27,188,127,M11w,0,0
1990.01,1371,J8e,Ryujuyama,Takasago,Fukushima,1961-06-12,181.5,139.8,J13w,9,6
1990.01,18,J8w,Takatoriki,Fujishima,Fukuoka,1967-09-28,180,129,J12e,8,7
1990.01,1345,J9e,Tamaryu,Kataonami,Nagasaki,1954-07-22,191,123,J5w,6,9
1990.01,1366,J9w,Takanomine,Izutsu,Fukuoka,1959-01-23,185,101,J12w,8,7
1990.01,1367,J10e,Fujinoshin,Kokonoe,Chiba,1960-11-06,181,147,M14e,0,0
1990.01,1370,J10w,Morinosato,Tatsutagawa,Hokkaido,1963-07-26,178,145.2,J9w,7,8
1990.01,1313,J11e,Komafudo,Hanaregoma,Toyama,1967-09-15,181,142,J6e,6,9
1990.01,1361,J11w,Daitetsu,Nishonoseki,Fukui,1956-10-29,193,124,J5e,5,10
1990.01,1362,J12e,Onohana,Taiho,Yamanashi,1958-06-23,189,144,J7w,6,9
1990.01,1369,J12w,Toryu,Mihogaseki,Hyogo,1958-12-19,181,144,J8e,6,9
1990.01,1326,J13e,Nishinoryu,Dewanoumi,Kagoshima,1963-01-29,181.5,112,Ms3w,5,2
1990.01,1309,J13w,Tamakairiki,Kataonami,Tokyo,1966-07-16,184,135,Ms1e,4,3
1990.01,82,Ms1e,Tochitenko,Kasugano,Gunma,1967-02-19,178,133.7,Ms2w,4,3
1990.01,1355,Ms1w,Goken,Takasago,Hyogo,1964-06-26,185,157.2,J13e,7,8
1990.01,1,Ms2e,Akebono,Azumazeki,U.S.A.,1969-05-08,202,154.5,Ms5e,5,2
1990.01,3,Ms2w,Wakahanada,Fujishima,Tokyo,1971-01-20,177.5,103.4,Ms9e,6,1
1990.01,1349,Ms3e,Kotohakusan,Sadogatake,Ishikawa,1961-06-01,182.5,122.2,Ms5w,5,2
1990.01,1373,Ms3w,Fukunosato,Tatsutagawa,Iwate,1961-06-04,181,105,Ms4e,4,3
1990.01,16,Ms4e,Minatofuji,Minato,Gunma,1968-07-06,187,152.9,Ms4w,4,3
1990.01,51,Ms4w,Daizen,Nishonoseki,Osaka,1964-12-14,188,133.1,Ms24w,7,0
1990.01,1323,Ms5e,Kumao,Takasago,Saitama,1965-10-02,175.5,115.4,Ms6e,4,3
1990.01,1329,Ms5w,Daigaku,Tokitsukaze,Shiga,1965-04-14,185,142.6,Ms15w,6,1
1990.01,160,Ms6e,Tatsuhikari,Tatsunami,Hokkaido,1969-10-25,192.5,165.5,Ms14w,5,2
1990.01,77,Ms6w,Osuzuki,Tokitsukaze,Niigata,1970-04-14,186,154.2,Ms9w,4,3
1990.01,1319,Ms7e,Tachihikari,Tomozuna,Chiba,1963-09-12,195,142,Ms3e,3,4
1990.01,1440,Ms7w,Kototohaku,Sadogatake,Tottori,1962-11-11,190.5,141,Ms11w,4,3
1990.01,1378,Ms8e,Hoo,Nishonoseki,Aichi,1956-12-07,180,137,Ms23e,6,1
1990.01,1299,Ms8w,Kiraiho,Takadagawa,Kanagawa,1966-01-05,188,147,J11w,3,12
1990.01,133,Ms9e,Momotaro,Asahiyama,Fukuoka,1968-12-26,179,160.8,Ms12w,4,3
1990.01,1383,Ms9w,Sekinohana,Isegahama,Ibaraki,1959-05-02,186.5,110.2,Ms19e,5,2
1990.01,1327,Ms10e,Yoshinobori,Kumagatani,Fukuoka,1968-08-19,175,128,Ms14e,4,3
1990.01,1387,Ms10w,Suginohana,Futagoyama,Hokkaido,1965-06-23,181,124.7,Ms1w,2,5
1990.01,1384,Ms11e,Takamio,Azumazeki,U.S.A.,1967-07-01,190,170.3,Ms15e,4,3
1990.01,1286,Ms11w,Kenko,Takadagawa,Osaka,1967-06-27,189.5,116.6,Ms7e,3,4
1990.01,74,Ms12e,Kotononada,Sadogatake,Hokkaido,1966-02-02,182.3,100.5,Ms7w,3,4
1990.01,1357,Ms12w,Yamanishiki,Dewanoumi,Shizuoka,1965-05-22,174,141.5,Ms24e,5,2
1990.01,1428,Ms13e,Daikaizan,Hanaregoma,Aichi,1967-04-12,184.5,145.1,Ms31e,6,1
1990.01,1465,Ms13w,Arakoma,Hanaregoma,Hokkaido,1963-05-11,184.3,132.8,Ms13w,0,0
1990.01,1609,Ms14e,Takamiwaka,Azumazeki,Niigata,1969-12-12,186.5,135.1,Ms31w,6,1
1990.01,1429,Ms14w,Ishinotani,Dewanoumi,Hyogo,1965-11-19,183,111,Ms18e,4,3
1990.01,1485,Ms15e,Tochiogi,Kasugano,Aichi,1965-11-21,183,171.5,Ms26e,5,2
1990.01,1461,Ms15w,Musashiryu,Musashigawa,Hyogo,1964-01-06,185.5,118.9,Ms26w,5,2
1990.01,1341,Ms16e,Seifu,Oshiogawa,Aomori,1967-03-11,184,119.8,Ms20e,4,3
1990.01,1390,Ms16w,Toshoho,Onaruto,Kanagawa,1965-03-25,182,129,Ms10e,3,4
1990.01,1557,Ms17e,Shinminato,Minato,Aichi,1970-02-16,182.5,140.3,Sd23w,7,0
1990.01,1425,Ms17w,Sawahata,Miyagino,Ibaraki,1961-02-18,175.7,95.6,Ms10w,3,4
1990.01,153,Ms18e,Nishida,Isenoumi,Hyogo,1969-03-19,183,143.2,Ms22w,4,3
1990.01,55,Ms18w,Zenshinyama,Takadagawa,Kanagawa,1966-04-22,181,122,Ms11e,3,4
1990.01,1386,Ms19e,Fuchita,Kitanoumi,Hyogo,1964-08-09,191,136.9,Ms6w,2,5
1990.01,174,Ms19w,Mutsunoumi,Ajigawa,Hokkaido,1964-06-24,181.5,151.5,Ms32e,5,2
1990.01,1322,Ms20e,Hidenoumi,Mihogaseki,Osaka,1965-11-20,187,221.5,Ms32w,5,2
1990.01,14,Ms20w,Kotonowaka,Sadogatake,Yamagata,1968-05-15,192,135.9,Ms13e,3,4
1990.01,1392,Ms21e,Akinokuni,Tokitsukaze,Hiroshima,1966-10-21,179,87.4,Ms8e,2,5
1990.01,157,Ms21w,Tomoefuji,Kokonoe,Akita,1971-01-27,191.2,136.8,Ms8w,2,5
1990.01,1420,Ms22e,Nohira,Izutsu,Kagoshima,1964-05-25,181.5,101.1,Ms27e,4,3
1990.01,1321,Ms22w,Dewanokuni,Dewanoumi,Saitama,1964-01-15,180.5,139.3,Ms2e,1,6
1990.01,372,Ms23e,Chokairyu,Kagamiyama,Yamagata,1965-05-19,182.5,151.6,Ms28w,4,3
1990.01,234,Ms23w,Kotoamaki,Sadogatake,Tokyo,1964-12-04,175.5,113.3,Ms29w,4,3
1990.01,1307,Ms24e,Yamazaki,Tatsunami,Ishikawa,1966-07-07,181.5,166.6,Ms30w,4,1
1990.01,1388,Ms24w,Tochisagami,Kasugano,Kanagawa,1965-11-17,186,145.5,Ms17w,3,4
1990.01,1490,Ms25e,Kototaikai,Sadogatake,Oita,1965-05-29,188.5,151,Ms40w,5,2
1990.01,191,Ms25w,Kiyonofuji,Isegahama,Shizuoka,1966-02-11,174,124.2,Ms41e,5,2
1990.01,62,Ms26e,Daishi,Oshiogawa,Ibaraki,1968-08-23,181,129,Ms19w,3,4
1990.01,1438,Ms26w,Asanofuji,Takasago,Ehime,1961-09-27,175,134.8,Ms12e,2,5
1990.01,1487,Ms27e,Tatsubayama,Tokitsukaze,Oita,1964-10-29,182,116.9,Ms45e,5,2
1990.01,1424,Ms27w,Daiko,Kasugano,Aomori,1966-01-02,177,143,Ms21e,3,4
1990.01,1344,Ms28e,Akinomine,Mihogaseki,Hiroshima,1968-11-25,177.6,118.3,Ms35e,4,3
1990.01,76,Ms28w,Hoshitango,Michinoku,Argentina,1965-09-05,185,123.6,Ms21w,3,4
1990.01,1507,Ms29e,Jinryu,Tokitsukaze,Osaka,1965-07-03,182,125.2,Ms56w,6,1
1990.01,1351,Ms29w,Ryugahama,Tokitsukaze,Shizuoka,1963-08-16,184.5,133.3,Ms46w,5,2
1990.01,1536,Ms30e,Fusanokuni,Tokitsukaze,Chiba,1966-12-17,183,144.3,Ms22e,3,4
1990.01,1430,Ms30w,Minenofuji,Kokonoe,Kanagawa,1960-04-07,191.5,103.2,Ms37w,4,3
1990.01,1328,Ms31e,Yamanakayama,Magaki,Tochigi,1970-09-17,174.5,139.5,Ms38e,4,3
1990.01,196,Ms31w,Kakehata,Isenoumi,Iwate,1968-07-08,182.5,113.6,Ms39w,4,3
1990.01,1447,Ms32e,Daishiryu,Hanaregoma,Fukuoka,1965-12-10,189.5,110.6,Ms40e,4,3
1990.01,1514,Ms32w,Tatsuyuji,Mihogaseki,Kanagawa,1964-10-11,168,129.5,Ms17e,2,5
1990.01,1493,Ms33e,Yamanami,Tatsunami,Niigata,1968-04-01,196.5,126.5,Ms50e,5,2
1990.01,1394,Ms33w,Wakadozan,Futagoyama,Hokkaido,1965-02-14,180.5,133.6,Ms25e,3,4
1990.01,1467,Ms34e,Komahiryu,Hanaregoma,Aichi,1967-10-25,172,129.9,Ms25w,3,4
1990.01,1294,Ms34w,Naminohana,Futagoyama,Aomori,1969-03-19,178,117.4,Ms51w,5,2
1990.01,1452,Ms35e,Kotonobori,Sadogatake,Hokkaido,1961-05-30,181,128.8,Ms20w,2,5
1990.01,241,Ms35w,Tatsutanaka,Tatsunami,Osaka,1966-04-22,177.5,134,Ms42e,4,3
1990.01,1463,Ms36e,Maemiyama,Takadagawa,Osaka,1965-03-23,190,154,Ms42w,4,3
1990.01,1602,Ms36w,Wakakiyama,Fujishima,Fukushima,1967-06-29,183.5,118.3,Ms54e,5,2
1990.01,1433,Ms37e,Kitafubuki,Tatsunami,Hokkaido,1963-10-28,182,128.1,Sd7e,6,1
1990.01,159,Ms37w,Kiyota,Dewanoumi,Fukushima,1969-06-21,179,135.5,Sd7w,6,1
1990.01,1325,Ms38e,Wakatosho,Magaki,Chiba,1968-10-23,181,92.8,Ms44w,4,3
1990.01,1468,Ms38w,Narayama,Isenoumi,Nara,1966-12-29,182.5,165.1,Ms23w,2,5
1990.01,1391,Ms39e,Mitsueyama,Tokitsukaze,Osaka,1965-10-16,186.7,139,Ms46e,4,3
1990.01,1385,Ms39w,Tochiakagi,Kasugano,Gunma,1954-10-31,181.5,122.2,Ms16e,1,6
1990.01,5,Ms40e,Namioka,Fujishima,Aomori,1971-10-27,194.7,133.3,Ms16w,1,1
1990.01,1442,Ms40w,Yuho,Taiho,Okinawa,1956-12-05,179.5,146.1,Ms59e,5,2
1990.01,1472,Ms41e,Miwanokuni,Isegahama,Shizuoka,1966-07-20,179.5,118,Ms60e,5,2
1990.01,108,Ms41w,Ominato,Minato,Tokyo,1968-10-03,181.5,125.2,Ms47w,4,3
1990.01,1497,Ms42e,Takamaru,Asahiyama,Aichi,1962-06-13,176.7,118.6,Ms33e,3,4
1990.01,238,Ms42w,Umenosato,Takasago,Ibaraki,1964-05-03,190,161,Ms48w,4,3
1990.01,1441,Ms43e,Taisho,Kumagatani,Tokyo,1961-04-09,178,128.2,Ms33w,3,4
1990.01,1492,Ms43w,Kusunosato,Futagoyama,Hyogo,1963-10-31,188.7,110.1,Ms49w,4,3
1990.01,1469,Ms44e,Shitoyama,Izutsu,Tokyo,1960-11-10,172.5,148.9,Ms34w,3,4
1990.01,1451,Ms44w,Tochiizumi,Kasugano,Osaka,1959-11-26,188,172.7,Ms35w,3,4
1990.01,274,Ms45e,Wakanoshima,Magaki,Kagoshima,1968-04-02,178.8,151.5,Ms53w,4,3
1990.01,120,Ms45w,Dodoyama,Musashigawa,Tokyo,1969-05-13,183,134.2,Ms27w,2,5
1990.01,140,Ms46e,Tochihidake,Kasugano,Fukushima,1966-10-12,186,142.5,Ms28e,2,5
1990.01,1393,Ms46w,Shoryu,Taiho,Niigata,1964-05-23,193.5,132.7,Ms36w,3,4
1990.01,1558,Ms47e,Seiunryu,Azumazeki,Miyagi,1965-10-28,182.5,108.4,Ms56e,4,3
1990.01,1513,Ms47w,Godoriki,Fujishima,Tokyo,1967-11-05,179,122.2,Sd5w,5,2
1990.01,1458,Ms48e,Shingen,Nishonoseki,Yamanashi,1967-09-12,176.7,135.5,Ms37e,3,4
1990.01,1418,Ms48w,Koganefuji,Hanaregoma,Tokyo,1961-10-07,188,119.2,Ms30e,2,5
1990.01,1346,Ms49e,Kengaku,Miyagino,Tokushima,1968-12-30,181.7,152,Sd25w,6,1
1990.01,373,Ms49w,Setonofuji,Musashigawa,Kagoshima,1968-10-21,184,96.7,Ms58e,4,3
1990.01,1455,Ms50e,Akaoni,Asahiyama,Tochigi,1965-03-13,181.3,128.7,Ms39e,3,4
1990.01,1480,Ms50w,Kiyotakara,Isegahama,Ehime,1966-08-08,182,150.2,Sd3w,4,3
1990.01,648,Ms51e,Takasakiyama,Oshiogawa,Aomori,1970-04-10,189.5,139.3,Sd4e,4,3
1990.01,1464,Ms51w,Tochigeno,Kasugano,Fukuoka,1965-09-28,178,110.3,Sd4w,4,3
1990.01,1517,Ms52e,Kiyonosato,Kise,Toyama,1965-08-10,174,128.7,Ms43e,3,4
1990.01,1477,Ms52w,Kiyonoumi,Kise,Akita,1963-01-20,179.5,118.7,Ms43w,3,4
1990.01,1377,Ms53e,Iwatefuji,Asahiyama,Iwate,1963-08-09,185,126,Ms18w,0,7
1990.01,1502,Ms53w,Kisezakura,Kise,Miyazaki,1965-02-07,186,155,Sd12e,5,2
1990.01,1528,Ms54e,Ogiryu,Takadagawa,Mie,1965-05-12,183,115.9,Sd14w,5,2
1990.01,1538,Ms54w,Kotokabuto,Sadogatake,Yamanashi,1965-11-09,182,105,Ms34e,2,5
1990.01,1570,Ms55e,Kiyominato,Kise,Hokkaido,1969-02-25,184,161.4,Sd8w,4,3
1990.01,1306,Ms55w,Hitachiryu,Oshiogawa,Ibaraki,1969-10-19,180.5,119.6,Sd17e,5,2
1990.01,1475,Ms56e,Fukifudo,Tomozuna,Aomori,1964-04-25,176,103,Ms36e,2,5
1990.01,1539,Ms56w,Tamakoryu,Kataonami,Yamaguchi,1964-11-07,175,161.5,Ms29e,1,6
