basho,id,rank,rikishi,heya,shusshin,birth_date,height,weight,prev,prev_w,prev_l
1996.01,2,Y1e,Takanohana,Futagoyama,Tokyo,1972-08-12,185,147,Y1e,12,3
1996.01,1,Y1w,Akebono,Azumazeki,U.S.A.,1969-05-08,203,224,Y1w,7,3
1996.01,3,O1e,Wakanohana,Futagoyama,Tokyo,1971-01-20,180,133,O1w,12,3
1996.01,4,O1w,Musashimaru,Musashigawa,U.S.A.,1971-05-02,190,198,O1e,10,5
1996.01,5,O2e,Takanonami,Futagoyama,Aomori,1971-10-27,197,165,O2e,9,6
1996.01,7,S1e,Kaio,Tomozuna,Fukuoka,1972-07-24,185,163,S1e,9,6
1996.01,12,S1w,Kotonishiki,Sadogatake,Gunma,1968-06-08,177,144,S2w,8,7
1996.01,13,K1e,Tosanoumi,Isenoumi,Kochi,1972-02-16,185,131,M1w,9,6
1996.01,6,K1w,Musoyama,Musashigawa,Ibaraki,1972-02-14,184,163,S1w,7,8
1996.01,18,M1e,Takatoriki,Futagoyama,Hyogo,1967-09-28,180,145,K1w,7,8
1996.01,28,M1w,Mitoizumi,Takasago,Ibaraki,1962-09-02,194,192,M2w,8,7
1996.01,14,M2e,Kotonowaka,Sadogatake,Yamagata,1968-05-15,190,170,M3w,8,7
1996.01,37,M2w,Kotoinazuma,Sadogatake,Gunma,1962-04-26,181,137,K1e,6,9
1996.01,49,M3e,Misugisato,Futagoyama,Shiga,1962-07-01,185,159,M6e,9,6
1996.01,16,M3w,Minatofuji,Minato,Gunma,1968-07-06,186,161,M5w,8,7
1996.01,9,M4e,Akinoshima,Futagoyama,Hiroshima,1967-03-16,174,154,M7w,8,7
1996.01,21,M4w,Asahiyutaka,Oshima,Aichi,1968-09-10,191,143,M8e,8,7
1996.01,1286,M5e,Kenko,Takadagawa,Osaka,1967-06-27,191,140,M1e,5,10
1996.01,1288,M5w,Kotobeppu,Sadogatake,Oita,1965-10-17,178,193,M9e,8,7
1996.01,23,M6e,Tochinowaka,Kasugano,Wakayama,1962-05-22,189,160,M2e,5,10
1996.01,30,M6w,Kitakachidoki,Isenoumi,Hokkaido,1966-01-01,183,145,M10e,8,7
1996.01,33,M7e,Terao,Izutsu,Kagoshima,1963-02-02,186,114,M3e,5,10
1996.01,36,M7w,Asanosho,Wakamatsu,Kanagawa,1969-12-23,184,142,M12e,9,6
1996.01,1287,M8e,Konishiki,Takasago,U.S.A.,1963-12-31,183,273,M10w,8,7
1996.01,45,M8w,Daishoho,Tatsunami,Hokkaido,1967-05-07,187,144,M14w,10,5
1996.01,1294,M9e,Naminohana,Futagoyama,Aomori,1969-03-19,179,135,M5e,6,9
1996.01,25,M9w,Hamanoshima,Mihogaseki,Kumamoto,1970-03-21,179,131,M11w,8,7
1996.01,1290,M10e,Wakashoyo,Futagoyama,Tokyo,1966-03-08,180,169,M4w,5,9
1996.01,1296,M10w,Kasugafuji,Ajigawa,Miyagi,1966-02-20,177,137,M12w,8,7
1996.01,48,M11e,Oginohana,Dewanoumi,Chiba,1967-11-18,187,137,M15e,9,6
1996.01,11,M11w,Aogiyama,Tokitsukaze,Shiga,1970-02-18,180,149,M15w,9,6
1996.01,15,M12e,Oginishiki,Dewanoumi,Chiba,1971-07-08,184,140,M13e,8,7
1996.01,34,M12w,Asanowaka,Wakamatsu,Aichi,1969-12-11,175,149,M9w,7,8
1996.01,1301,M13e,Kirishima,Izutsu,Kagoshima,1959-04-03,186,124,M14e,8,7
1996.01,62,M13w,Daishi,Oshiogawa,Ibaraki,1968-08-23,181,171,M4e,3,12
1996.01,26,M14e,Higonoumi,Mihogaseki,Kumamoto,1969-09-23,183,143,M8w,6,9
1996.01,52,M14w,Tomonohana,Tatsunami,Kumamoto,1964-06-23,175,114,M11e,7,8
1996.01,42,M15e,Mainoumi,Dewanoumi,Aomori,1968-02-17,170,98,M6w,4,11
1996.01,1295,M15w,Kyokudozan,Oshima,Kagoshima,1964-10-14,182,105,M7e,4,11
1996.01,17,M16e,Tamakasuga,Kataonami,Ehime,1972-01-07,180.6,136,J1w,10,5
1996.01,44,J1e,Kushimaumi,Dewanoumi,Wakayama,1965-08-06,187,192,J1e,8,7
1996.01,53,J1w,Tokitsunada,Tokitsukaze,Tokushima,1969-08-02,187,173,J2e,9,6
1996.01,24,J2e,Ganyu,Kitanoumi,Hyogo,1970-08-06,185,170,J3e,8,7
1996.01,27,J2w,Wakanojo,Magaki,Okinawa,1973-04-13,191.5,144.5,J4e,8,7
1996.01,75,J3e,Daihisho,Asahiyama,Osaka,1973-08-30,194,160,J8e,11,4
1996.01,20,J3w,Shikishima,Tatsutagawa,Chiba,1970-12-15,183,176,J6e,9,6
1996.01,87,J4e,Wakanoyama,Musashigawa,Wakayama,1972-05-12,178,154,J9w,11,4
1996.01,1292,J4w,Kotogaume,Sadogatake,Toyama,1963-10-05,180,186,J7e,9,6
1996.01,1299,J5e,Kiraiho,Takadagawa,Kanagawa,1966-01-05,189,159,M13w,3,12
1996.01,60,J5w,Toyonoumi,Futagoyama,Fukuoka,1965-09-22,189,212,J3w,6,9
1996.01,1291,J6e,Sunahama,Takasago,U.S.A.,1971-07-22,183.5,178,J12e,10,5
1996.01,1285,J6w,Asahisato,Oshima,Osaka,1965-11-09,188,138.5,J11e,9,6
1996.01,66,J7e,Wakahayato,Miyagino,Kagoshima,1971-01-03,185.6,150.5,J9e,8,7
1996.01,29,J7w,Kotoryu,Sadogatake,Chiba,1972-03-02,184,135,J6w,7,8
1996.01,73,J8e,Kanechika,Kitanoumi,Kanagawa,1969-11-12,181,162,J5e,6,9
1996.01,57,J8w,Yamato,Magaki,U.S.A.,1969-12-17,190.3,181.5,J13w,9,6
1996.01,1289,J9e,Rikio,Naruto,Nara,1972-12-20,190,145,J2w,4,11
1996.01,35,J9w,Kyokushuzan,Oshima,Mongolia,1973-03-08,183.6,113.9,J5w,6,9
1996.01,51,J10e,Daizen,Nishonoseki,Osaka,1964-12-14,189,157,J4w,5,10
1996.01,22,J10w,Gojoro,Magaki,Miyagi,1973-08-18,191,147.5,J8w,6,9
1996.01,74,J11e,Kotokanyu,Sadogatake,Hokkaido,1966-02-02,183.9,133,Ms1w,6,1
1996.01,1300,J11w,Daiki,Azumazeki,U.S.A.,1973-07-16,192.5,195.5,J10w,7,8
1996.01,8,J12e,Chiyotaikai,Kokonoe,Oita,1976-04-29,180,142,J10e,6,9
1996.01,63,J12w,Otsukasa,Irumagawa,Hyogo,1971-02-18,176,141.5,Ms3e,5,2
1996.01,68,J13e,Gokenzan,Futagoyama,Kagawa,1973-07-12,196,190,Ms2e,4,3
1996.01,177,J13w,Mutetsuyama,Musashigawa,Hyogo,1971-03-27,173,132,J11w,6,9
1996.01,1306,Ms1e,Hitachiryu,Oshiogawa,Ibaraki,1969-10-19,179,126,Ms1e,0,0
1996.01,79,Ms1w,Kotofujimoto,Sadogatake,Yamaguchi,1972-10-21,189,146.5,Ms10e,6,1
1996.01,1398,Ms2e,Nanfu,Takasago,U.S.A.,1970-01-22,178.5,126.5,Ms4w,4,3
1996.01,124,Ms2w,Saigo,Nakamura,Saitama,1975-09-07,185,156,J13e,6,9
